geoid,year,Median monthly housing costs,% with 4year college degree,% unemployed,% manufacturing,% below poverty,% structures more than 30 years old,% households moved <10 years ago,% > 60 years old,% service industry,% vacant housing,% owner occupied housing,% multiunit structures,% < 18 years old,% black,% white,% Hispanic,% Asian,% foreign born,% health insurance,% without health insurance,Population,Housing units,Median Age,Median Age - Male,Median Age - Female,% male,% female,% male!!under 5 years,% male!!5 to 9 years,% male!!10 to 14 years,% male!!15 to 17 years,% male!!18 and 19 years,% male!!20 years,% male!!21 years,% male!!22 to 24 years,% male!!25 to 29 years,% male!!30 to 34 years,% male!!35 to 39 years,% male!!40 to 44 years,% male!!45 to 49 years,% male!!50 to 54 years,% male!!55 to 59 years,% male!!60 and 61 years,% male!!62 to 64 years,% male!!65 and 66 years,% male!!67 to 69 years,% male!!70 to 74 years,% male!!75 to 79 years,% male!!80 to 84 years,% male!!85 years and over,% female!!under 5 years,% female!!5 to 9 years,% female!!10 to 14 years,% female!!15 to 17 years,% female!!18 and 19 years,% female!!20 years,% female!!21 years,% female!!22 to 24 years,% female!!25 to 29 years,% female!!30 to 34 years,% female!!35 to 39 years,% female!!40 to 44 years,% female!!45 to 49 years,% female!!50 to 54 years,% female!!55 to 59 years,% female!!60 and 61 years,% female!!62 to 64 years,% female!!65 and 66 years,% female!!67 to 69 years,% female!!70 to 74 years,% female!!75 to 79 years,% female!!80 to 84 years,% female!!85 years and over,% whiteÂ alone,% blackÂ or african american alone,% American Indian and Alaska Native alone,% Asian alone,% Native Hawaiian and other Pacific Islander alone,% some other race alone,% Not Hispanic or Latino,% Hispanic or Latino,% total - foreign born,% foreign born - europe,% foreign born - asia,% foreign born - latin america,% same house 1 year ago,% moved within same county,% moved from different county within same state,% moved from different state,% moved from abroad,% householder lived in owner-occupied housing units,% householder lived in renter-occupied housing units,% different house in united states 1 year ago,"% car, truck, or van",% public transportation,% bicycle,% walked,% walk or bicycle to work,"% taxicab, motorcycle, bicycle, walked, or other means",% living in a place,% living in a place!!worked in place of residence,% living in a place!!worked outside place of residence,% not living in a place,less than 10 minutes,10 to 14 minutes,15 to 19 minutes,20 to 24 minutes,25 to 29 minutes,30 to 34 minutes,35 to 44 minutes,45 to 59 minutes,60 or more minutes,% no vehicle available,% 1 vehicle available,% 2 vehicles available,% 3 vehicles available,% 4 or more vehicles available,% never married,% now married,% separated,% widowed,% divorced,% speak only english,% speak spanish,% other languages,% income in the past 12 months below poverty level,Median income in the past 12 months,Median household income,Median earnings in the past 12 months,Median gross rent,"% management, business, science, and arts occupations",% service occupations,% sales and office occupations,"% natural resources, construction, and maintenance occupation","% production, transportation, and material moving occupations",% military specific occupations,"% agriculture, forestry, fishing and hunting, and mining",% construction,% wholesale trade,% retail trade,"% transportation and warehousing, and utilities",% information,"% finance and insurance, and real estate and rental and leasing","% professional, scientific, and management, and administrative and waste management services","% educational services, and health care and social assistance","% arts, entertainment, and recreation, and accommodation and food services",% public administration,% armed forces,% median monthly housing costs,% less than high school graduate,% high school graduate (includes equivalency),% some college or associate's degree,% bachelor's degree,% graduate or professional degree,% in labor force,% in labor force!!unemployed,% not in labor force,% in labor force!!employed!!with health insurance coverage,% in labor force!!employed!!no health insurance coverage,% in labor force!!unemployed!!with health insurance coverage,% in labor force!!unemployed!!no health insurance coverage,% not in labor force!!with health insurance coverage,% not in labor force!!no health insurance coverage,% total!!now married (except separated)!!female,% now married (except separated)!!female!!in labor force,% built 2014 or later,% built 2010 to 2013,% built 2000 to 2009,% built 1990 to 1999,% built 1980 to 1989,% built 1970 to 1979,% built 1960 to 1969,% built 1950 to 1959,% built 1940 to 1949,% built 1939 or earlier,Median year structure built,Pop in occupied housing units,% pop in owner occupied,% pop in owner occupied!!moved in 2017 or later,% pop in owner occupied!!moved in 2015 to 2016,% pop in owner occupied!!moved in 2010 to 2014,% pop in renter occupied,% pop in renter occupied!!moved in 2017 or later,% pop in renter occupied!!moved in 2015 to 2016,% pop in renter occupied!!moved in 2010 to 2014,% occupied,% vacant,% owner occupied,% renter occupied,% family households,% family households!!married-couple family,% married-couple family!!1-unit structures,% family households!!married-couple family!!2-or-more-unit structures,% nonfamily households!!1-unit structures,% nonfamily households!!2-or-more-unit structures,% veteran,% nonveteran,"% housing units 1-unit, detached","% housing units 1-unit, attached",% housing units 2 units,% housing units 3 or 4 units,% housing units 5 to 9 units,% housing units 10 to 19 units,% housing units 20 or more units,% housing units mobile home,"% housing units boat, rv, van, etc",% housing units two or more
10001,2018,1817,37.86488741,3.51407959,2.138100245,13.26349351,60.68877731,56.76887872,21.04781016,10.45916579,12.09249699,26.16844984,90.29844743,8.650322806,6.163845751,62.91223172,14.15983249,25.18757634,32.34165067,94.26925762,5.730742378,1500,850,36.7,40.1,34.3,50.91170825,49.08829175,0.863723608,1.653671493,3.333047725,1.096735498,2.321994688,0.694027932,1.542284294,4.901036758,12.62102648,13.09228001,6.794619141,10.62462514,7.488647074,8.208379745,4.91817325,1.585125525,5.020992203,1.885014138,1.730785708,1.422328849,3.855710736,2.304858196,1.208122697,2.434906247,2.959210877,2.870345686,1.288545277,5.482982316,1.812849907,1.635119524,7.52688172,14.42282058,10.53941171,6.771527593,3.76788412,6.113925176,4.070025771,5.145294588,3.634586333,2.177197192,1.350750911,3.696791967,3.883408869,4.221096596,1.368523949,2.82591309,62.91223172,6.163845751,0.157040656,25.18757634,0.087244809,2.883440935,85.84016751,14.15983249,7414,18.00647424,57.44537362,14.58052333,0,8.519216442,2.007099347,5.10977694,2.699504799,26.20832375,73.79167625,0,4.079915878,49.66000701,3.743427971,32.21170698,35.95513495,3.862600771,100,94.553102,5.446898002,0,5.956841001,8.084819422,15.60017983,21.33223438,6.960887157,18.37254608,7.328038364,6.900944103,9.463509666,83.66985761,14.3029523,1.890435202,0,0.136754887,55.88290751,29.54652588,1.786556048,4.572452154,8.211558405,64.03438446,10.46231962,25.50329592,13.26349351,62349,88526,74878,2065,64.51454609,10.45916579,20.50473186,0.651945321,3.869610936,0,0.189274448,0.581843673,1.654398878,8.734665265,2.551699965,4.794952681,21.91377497,27.04521556,15.00876271,10.32597266,2.180161234,0,1817,8.245760356,12.33805949,11.39838755,37.86488741,30.1529052,82.5459623,4.257118692,3000,91.46461799,4.278263321,84.43708609,15.56291391,90.53333333,9.466666667,2928,60.17759563,5.508804186,10.67816986,17.62251609,2.064917615,3.436814935,1.937628173,22.65752068,3.153949509,2.708436461,30.23124249,1966,21850,26.11899314,3.2065884,6.500788505,19.85281234,73.88100686,6.089326643,19.97150468,40.32707675,87.90750301,12.09249699,26.16844984,73.83155016,30.87442684,22.77371088,1.512348162,21.26136272,0.088488456,69.03708471,2.516594241,97.48340576,1.308252599,0.304080334,1.58404639,0.73545011,2.885227353,7.743441058,85.43950216,0,0,95.50243971
10002,2018,980,21.85260311,4.91975093,3.74649433,27.65748561,88.29918262,34.45482611,28.25330364,25.20424338,6.113537118,13.3273703,78.60465116,13.28790687,8.378115291,32.22700785,27.18920433,41.45586921,41.8385716,91.50038018,8.499619819,4100,1900,43.6,40.7,46,48.31117571,51.68882429,1.668155695,4.115373999,4.148495722,2.649737786,1.341429754,0.863924924,0.999171957,5.153187966,10.28705493,9.572177753,6.53325973,5.87634557,7.460667955,6.897598675,6.155120066,2.393044438,3.516422854,2.671818935,3.008556445,4.272702181,2.536571902,3.328733094,2.765663815,3.575574646,2.96416686,3.407888966,2.332120837,1.596883626,0.606248226,1.258932487,3.864509971,9.973428269,6.973144493,5.672935531,6.054742925,7.195005547,5.915434822,6.841575729,4.266955602,4.083791244,2.871294791,2.548822331,5.169878492,3.993498955,3.745840105,5.087325542,32.22700785,8.378115291,0.906751297,41.45586921,0.032002987,13.12255811,72.81079567,27.18920433,31376,6.702575217,77.1927588,14.50471698,0,3.485809503,2.254891421,1.277950978,0.843904537,12.72632144,87.27367856,0,8.642238751,54.57870991,4.944518961,25.56090721,30.50542617,2.036337032,100,92.71735154,7.282648458,0,4.001400649,6.576685554,12.60584453,13.06105558,6.446170497,22.53453874,10.10695868,11.95008595,12.71725982,82.55515802,15.97793679,1.267143709,0.163983304,0.035778175,44.56885726,36.50959756,2.81498535,8.277521976,7.829037852,37.91807176,19.51738626,42.56454199,27.65748561,20295,35859,37348,963,44.91220583,25.20424338,19.9365931,2.554566516,7.392391172,0,0.207291794,2.347274723,2.396049262,7.989879283,4.252530179,4.737227167,9.721375442,18.00695037,22.79600049,16.46445555,2.722228996,0,980,34.03989182,19.60277214,12.39858012,21.85260311,12.10615281,71.16787571,6.912881522,14030,86.54962317,6.537495308,82.87385129,17.12614871,89.57947256,10.42052744,12172,48.72658561,0.117568021,1.097301534,3.762176688,2.664875154,4.05889598,11.43209047,14.91154406,13.55391334,9.531407457,38.8702273,1951,73206,12.69158266,0.742654181,2.271014961,23.32364654,87.30841734,3.395134163,8.501916608,23.73777673,93.88646288,6.113537118,13.3273703,86.6726297,49.38878951,28.78652355,0.509838998,28.25283244,0.22659511,50.35181872,1.806913945,98.19308606,0.621430971,0.257529952,1.027320569,1.861493674,5.732840667,14.94793416,75.49826447,0.022393909,0.030791625,93.33501288
10003,2018,2190,42.43906266,4.026729365,2.383477881,8.453640255,90.23837285,53.66199083,16.92147325,8.048917452,15.39059464,32.93905987,93.91747053,7.090084488,5.811784499,75.9134633,8.240371603,13.48341319,19.87125562,94.86202203,5.137977973,3600,1500,32.3,33.3,30.7,50.29625837,49.70374163,2.000658352,1.908882667,1.71254045,0.908991746,9.857106497,2.934225357,1.763443988,4.71584918,13.19492419,11.7514453,10.48976475,5.995709559,4.926735265,4.941279133,5.297603898,1.41075519,3.334181726,0.745373232,2.094316984,2.432461913,2.901501654,1.265316511,1.439842926,2.47617646,1.475403804,0.732182935,0.971338165,15.71433828,3.55053534,2.557121307,4.92291843,15.69962103,9.897347217,6.497663637,4.702159756,4.65432871,3.40336289,4.510835572,2.262776408,3.31138011,1.946355642,2.65646271,2.719011001,1.916921152,1.718238346,1.703521101,75.9134633,5.811784499,0.160930471,13.48341319,0.100581544,2.221937749,91.7596284,8.240371603,10866,34.79661329,42.30627646,12.47929321,0,8.646929378,4.236551584,13.90794608,3.724319027,35.78477176,64.21522824,0,5.890060523,51.12934423,4.302115181,27.05746553,31.35958071,3.940225869,100,93.37056218,6.629437824,0,8.272506083,8.951743715,13.78075155,21.87077589,12.10800216,18.09272776,5.913760476,6.072587186,4.937145174,77.31587812,19.89741234,1.74552136,1.041188179,0,63.08774528,28.92885676,0.635242308,2.172684581,5.175471073,78.43144666,6.483983748,15.08456959,8.453640255,68414,112131,73577,2298,71.46689961,8.048917452,18.55930617,0.592749735,1.310288888,0.021838148,0,0.91096275,2.015349098,6.554564173,1.010794285,9.028514382,20.13165284,23.39801585,19.62937543,10.49479004,1.407000686,0.021838148,2190,3.88638979,5.960351501,9.969662099,42.43906266,37.74453395,77.58693231,5.189958212,9056,91.14166321,3.668378577,88.62937923,11.37062077,91.81757951,8.182420495,7010,69.38659058,0.404845187,0.657468584,3.313253012,1.787796347,3.598264024,5.01684156,17.27879259,10.61666019,4.854903485,52.47117502,0,44484,35.83985253,2.452486985,6.197077087,27.77394468,64.16014747,7.51200028,17.01762377,38.7617813,84.60940536,15.39059464,32.93905987,67.06094013,30.41647527,26.43163375,1.791456132,24.64017761,0.306231817,69.27729291,2.283554471,97.71644553,1.586993134,0.667184869,1.551366757,2.804767457,7.264542039,14.62624692,71.49889882,0,0,90.48127996
10004,2018,3236,47.50687083,3.201970443,2.372881356,2.179656539,68.16269285,65.21164021,13.70541612,2.421307506,22.44039271,38.27606992,94.57504521,11.39365918,1.684280053,62.81373844,3.698811096,30.44914135,27.44385733,95.11494253,4.885057471,250,150,37.1,38.3,37,41.84280053,58.15719947,3.467635403,0,2.052091555,1.894238358,0.710339384,0,0.710339384,1.183898974,10.02367798,13.7332281,14.60142068,5.998421468,5.524861878,17.9952644,5.367008682,0,6.156274665,1.34175217,0.078926598,1.736385162,2.604577743,0,0,1.135718342,2.896081772,5.167518455,1.590005679,1.078932425,0.39750142,0.170357751,4.202157865,16.18398637,11.35718342,11.75468484,5.848949461,5.792163543,13.51504827,3.918228279,2.328222601,3.861442362,1.590005679,1.646791596,3.975014196,0,0,1.590005679,62.81373844,1.684280053,0,30.44914135,0.561426684,1.321003963,96.3011889,3.698811096,831,33.21299639,56.31768953,5.776173285,0,9.900332226,0.132890365,4.15282392,2.857142857,43.04723886,56.95276114,0,8.474576271,54.33414044,0.290556901,24.35835351,24.64891041,0.774818402,100,94.23728814,5.762711864,0,9.275521405,13.06256861,8.891328211,17.06915477,9.110867179,22.61251372,8.397365532,6.421514819,5.159165752,75.16576251,19.71066908,4.279686558,0.843881857,0,43.83912249,48.6654479,0.146252285,2.705667276,4.643510055,71.75335859,2.307957286,25.93868412,2.179656539,105452,157645,105906,3235,76.17433414,2.421307506,20.5811138,0.0968523,0.726392252,0,0,0.726392252,4.213075061,3.680387409,1.355932203,6.150121065,30.21791768,28.52300242,13.12348668,3.438256659,0.774818402,0,3236,1.099332548,2.159403219,6.321162152,47.50687083,42.91323125,85.22167488,3.757225434,360,92.43737958,3.80539499,60.25641026,39.74358974,97.5,2.5,659,57.96661608,0,0,19.30808789,4.815334268,7.713884993,2.01028518,1.683029453,1.122019635,2.431042543,60.91631604,0,3024,43.18783069,0.229709035,6.202143951,33.46094946,56.81216931,5.122235157,27.12456345,52.21187427,77.55960729,22.44039271,38.27606992,61.72393008,42.73658831,38.63773357,0,38.63773357,1.32610006,55.93731163,1.93812896,98.06187104,1.028517999,0,0,2.057035998,1.122019635,1.589527817,94.20289855,0,0,97.84946237
10005,2018,3238,48.45126025,2.877036259,1.7171868,9.511946552,74.00179051,89.93646472,1.664590647,2.687770644,21.68307968,19.63877458,95.17604024,12.53538671,2.502547843,73.42316838,6.884837504,16.95164761,22.31910316,97.39884393,2.601156069,450,250,30.1,30.4,29.9,45.32895482,54.67104518,2.140187974,3.072695478,2.77292031,1.773669748,0.774419186,0.849362978,2.697976518,6.869847614,23.83212591,15.2885336,10.66699975,9.517861604,8.993255059,3.372470647,3.247564327,0.79940045,0.024981264,0,0.099925056,0.624531601,0,0,0,6.897265949,3.707539354,1.346313173,0.745650373,1.263463132,0.393537697,1.097763049,11.53686827,23.75724938,16.46644573,13.83595692,9.217067109,2.775476388,2.112676056,3.086164043,0,0.041425021,0,0.082850041,1.056338028,0.57995029,0,0,73.42316838,2.502547843,0,16.95164761,0,2.332691654,93.1151625,6.884837504,1971,31.96347032,45.15474378,10.80669711,0,14.75559616,4.020100503,5.870260393,2.809502056,20.44856391,79.55143609,0,1.806779155,62.84903688,0,29.90891444,29.90891444,1.075108257,100,95.41585785,4.584142153,0,17.64246682,7.259953162,8.165495706,15.94067135,10.0078064,20.46838407,13.36455894,2.888368462,4.262295082,85.64243256,12.78006401,1.508916324,0.068587106,0,54.52688035,38.50083003,0.523560209,1.034350658,5.414378751,80.31050668,3.213383079,16.47611024,9.511946552,95137,173333,95974,3226,71.50963118,2.687770644,24.30939227,1.343885322,0.149320591,0,0,0.582350306,2.06062416,5.405405405,0.403165597,8.003583694,27.13155144,34.59758101,12.33388084,4.793190981,0.268777064,0,3238,0.774369875,4.494382022,6.286061342,48.45126025,39.99392651,91.60535996,3.140685501,639,95.13839094,1.720923562,64.38356164,35.61643836,100,0,1484,77.76280323,0,1.539838854,12.53357207,4.691136974,7.233661594,10.9221128,5.03133393,4.941808415,1.145926589,51.96060877,0,8814,20.64896755,10,8.461538462,43.07692308,79.35103245,7.306262511,31.12668001,58.89333715,78.31692032,21.68307968,19.63877458,80.36122542,36.89986283,32.57887517,0.502972108,32.07590306,0,63.10013717,0.958052822,99.04194718,0.393912265,0,0.053715309,0,0.143240824,0.680393912,98.72873769,0,0,99.46284691
10006,2018,3192,50.57301294,0.535296086,0.738150738,4.748118124,73.83696116,78.11233353,3.647944412,4.662004662,23.43149808,17.05685619,92.30769231,12.99942096,1.042269832,69.80312681,11.98610307,19.88998263,32.13665316,97.59116761,2.408832385,200,100,31.8,33.2,30.5,47.27851766,52.72148234,2.547770701,4.776484997,2.265768524,0.85731782,0,0,0,9.124311084,17.39130435,18.79975505,13.10471525,8.389467238,4.041641151,0.85731782,10.22657685,2.14329455,1.653398653,0.979791794,0,0,0,0,0,8.951125755,2.086765513,1.70236134,0,0,0,1.043382757,7.248764415,26.96320703,19.60461285,13.01482702,5.052169138,7.852828116,2.031850632,1.812191104,2.635914333,0,0,0,0,0,0,0,69.80312681,1.042269832,0,19.88998263,0,3.90851187,88.01389693,11.98610307,1110,35.85585586,45.67567568,12.16216216,0,15.83577713,0.234604106,3.900293255,1.554252199,15.30791789,84.69208211,0,4.895104895,56.52680653,1.243201243,29.68142968,30.92463092,0.621600622,100,89.47163947,10.52836053,0,15.41997493,8.650229837,8.608441287,11.86794818,8.984538237,23.27622232,8.483075637,5.933974091,8.775595487,80.93645485,14.82720178,4.236343367,0,0,55.28320636,35.57469361,2.517389864,0,6.624710169,68.0299719,9.116453325,22.85357477,4.748118124,99718,176250,101696,3229,78.86557887,4.662004662,15.07381507,0.738150738,0.66045066,0,0,1.35975136,2.564102564,4.584304584,1.981351981,4.778554779,28.74902875,33.33333333,13.98601399,3.72960373,3.807303807,0,3192,0.591497227,0.998151571,5.61922366,50.57301294,42.2181146,88.55804617,0.604457877,342,97.31771817,2.077823952,100,0,95.02923977,4.970760234,472,70.12711864,0,3.841229193,7.084933845,13.61502347,1.621852326,3.883909518,7.298335467,0,2.475458813,60.17925736,0,3454,15.69195136,3.874538745,12.17712177,60.51660517,84.30804864,10.13049451,21.32554945,46.94368132,76.56850192,23.43149808,17.05685619,82.94314381,35.28428094,29.04124861,1.449275362,27.59197324,0,64.71571906,0,100,1.109688434,0,0,1.237729407,1.536491677,2.390098165,93.72599232,0,0,97.35381989
10007,2018,3554,42.62633853,2.279329609,1.468659848,2.3451399,41.38443256,57.8460039,9.853339029,3.829006032,18.86512181,35.44489198,96.88758696,20.10536808,4.727324505,77.18923537,8.258578955,11.76135555,23.46575538,99.35195531,0.648044693,400,150,36,35.9,36.2,58.63591058,41.36408942,4.314395557,10.10199126,2.865468674,0.655658086,0.437105391,0.412821758,1.214181642,1.578436134,6.289460903,16.00291404,8.887809616,11.3890238,9.834871297,7.673627975,3.156872268,3.011170471,1.019912579,1.238465274,2.91403594,2.452646916,0.752792618,0.388538125,0.364254492,8.123924269,3.786574871,6.127366609,0.82616179,1.617900172,0.309810671,1.067125645,1.755593804,7.228915663,16.62650602,10.08605852,10.8777969,12.5989673,6.333907057,6.024096386,1.996557659,1.170395869,1.858864028,0.585197935,0.516351119,0,0.481927711,0,77.18923537,4.727324505,0,11.76135555,0,1.979211163,91.74142105,8.258578955,1648,43.38592233,39.38106796,13.28883495,0,7.499640132,4.505541961,2.000863682,1.928890168,42.58223684,57.41776316,0,6.189352216,55.38945712,2.307894047,25.54419093,27.85208497,5.90086546,100,91.18804091,8.811959087,0,7.097661623,8.060522696,11.9394773,21.12792297,11.60935351,20.13755158,11.49931224,2.50343879,6.024759285,73.48956426,23.14170633,2.856096668,0.512632735,0,32.03814906,59.73154362,1.483574709,0.618156129,6.128576475,75.4318322,6.554595928,18.01357187,2.3451399,107138,246813,133000,3394,73.35431419,3.829006032,21.03330711,1.573564123,0.20980855,0,0,1.966955153,4.222397063,4.012588513,0,4.327301338,40.44059795,21.74141096,13.00813008,6.949908209,0.944138474,0,3554,7.36426827,7.063685891,5.579560398,42.62633853,37.36614691,85.09497207,2.678571429,667,97.11134454,0.210084034,86.2745098,13.7254902,98.95052474,1.049475262,1501,69.55363091,0,1.990493167,28.37195484,9.655377302,18.59774213,2.584670232,8.704693999,1.426024955,0.415923945,28.25311943,1985,6156,42.72254711,0,11.63498099,28.25095057,57.27745289,8.22461713,17.41349972,45.60408395,81.13487819,18.86512181,35.44489198,64.55510802,53.64335408,50.53094105,0,50.53094105,0,46.35664592,3.974336125,96.02566387,0,0.445632799,0.92097445,4.723707665,6.803327392,7.575757576,79.53060012,0,0,92.75103981
10009,2018,1639,37.64643473,2.992783359,3.166126264,23.42697212,87.36458633,46.90132738,21.06862322,13.67219785,5.001118461,6.33073197,84.76856835,11.13163574,9.375917134,61.83340527,24.76823479,12.96849374,22.55848079,92.54516296,7.454837036,2400,1300,37.1,35.1,38.8,45.78161416,54.21838584,1.144583513,3.129831442,4.163052905,2.847015347,0.889927976,0.478901919,1.025679701,6.138994683,15.04958709,13.65813191,8.446774011,5.999472077,7.353218447,5.271691994,5.58844602,1.647875108,2.73388891,2.232361703,3.054413817,3.623816886,2.028734115,0.995512651,1.14257702,2.547283958,1.910462969,3.196841368,2.203400624,1.044386423,1.015729478,2.808380564,7.778768388,14.84748137,8.409221168,6.947716997,5.578551869,5.967012673,5.19327517,6.4350761,3.521620073,3.499331338,3.085397695,3.012163281,3.35923072,2.343501242,1.983697383,3.311469146,61.83340527,9.375917134,0.122572292,12.96849374,0,12.12602503,75.23176521,24.76823479,13067,25.49934951,39.93265478,23.6090916,0,6.600367941,2.334339963,3.431219411,1.201013572,6.546366442,93.45363356,0,5.076610083,59.0406256,6.917159387,20.44630936,27.36346875,2.49539068,100,96.95149088,3.048509123,0,3.155971992,3.78175422,8.432838345,14.33886953,9.955011332,26.74965328,12.19091432,13.11098332,8.284003653,81.49555974,17.05799247,1.335441335,0.074004306,0.037002153,56.92880357,26.59473963,2.380772428,5.13755574,8.958128637,65.29347172,18.44072119,16.26580709,23.42697212,44302,61548,58802,1642,61.82529086,13.67219785,19.68020853,1.608493865,3.213808888,0,0.11761714,1.802403204,1.440015258,7.632398754,2.873672834,8.544726302,11.09733613,28.10096001,18.6089389,9.650963189,2.647975078,0,1639,11.76119535,14.20140577,14.56169046,37.64643473,21.82927368,74.22527239,4.032027452,10929,89.89292409,6.075048454,85.10638298,14.89361702,90.30103395,9.698966054,6988,63.55180309,0.431406385,0.754162273,3.400121433,4.243760585,3.805962995,4.802991084,9.212923018,12.05061835,27.92637331,33.37168057,1946,57331,6.511311507,2.973479775,6.188052505,16.7425663,93.48868849,5.621478413,14.23187432,28.51039218,94.99888154,5.001118461,6.33073197,93.66926803,35.23950484,20.46555436,0.319564047,20.14599031,0.137917115,64.62257804,1.622083649,98.37791635,0.524078867,0.041542837,0.485731633,1.338957594,7.359473365,17.93052759,72.26536286,0.054325248,0,92.02057968
10010,2018,2535,36.98819442,3.307472438,2.240365457,12.71720942,77.85810629,63.84681243,17.26652831,7.838849201,11.5727003,28.37705918,91.21415497,11.59205455,5.289060184,73.18114438,10.97835755,17.37029351,20.42691966,95.73295223,4.267047775,1600,700,34.7,35.4,33.4,51.49718352,48.50281648,2.840201601,1.801957398,2.36039148,1.266551526,3.425446172,1.42199194,0.736902706,6.350028785,14.83016695,11.54289004,8.175014393,6.649395509,8.301669545,4.525043178,6.211859528,1.502590674,2.07253886,1.698330455,2.855497985,4.110535406,1.842256765,1.03626943,1.767415083,4.529339853,4.180929095,2.811735941,0.75794621,5.024449878,2.597799511,1.968215159,5.201711491,13.36185819,12.26772616,8.068459658,7.982885086,4.034229829,4.798288509,4.743276284,0.910757946,2.023227384,1.766503667,1.858190709,4.865525672,1.907090465,2.157701711,2.182151589,73.18114438,5.289060184,0.681885562,17.37029351,0,1.289653128,89.02164245,10.97835755,6890,27.76487663,47.18432511,14.17997097,0,12.53925997,3.260446891,8.504083037,0.843528462,28.46453158,71.53546842,0,5.506147641,55.58147446,3.654565777,25.60139962,29.2559654,2.818681052,100,94.77572046,5.224279535,0,6.499739176,7.88210746,11.98748044,24.42357851,8.335941575,19.59833073,7.751695357,5.550339071,7.970787689,75.46674802,21.3361806,2.086638194,1.110433191,0,55.87455245,35.13128232,1.345975335,3.348362286,4.299827609,74.73385158,7.901720209,17.36442821,12.71720942,78566,117923,89103,2590,72.07075861,7.838849201,16.98498323,1.47251786,1.409340526,0.223550566,0,0.947660009,0.947660009,6.725956165,1.423919911,7.109879963,21.7038441,22.39879477,21.990572,5.651941488,3.003353258,0.719249648,2535,3.873336755,8.646898567,9.089114384,36.98819442,41.40245588,81.53532054,4.056490385,4522,92.50801282,3.435496795,81.85185185,18.14814815,95.31180893,4.688191066,4831,75.67791348,0.755327758,0.847046129,9.90558403,3.415160507,7.21877529,17.62071756,12.97005665,9.117885082,11.20043162,26.94901538,1962,30368,28.60906217,5.421270718,7.700276243,34.49585635,71.39093783,7.739852399,16.14391144,46.46678967,88.4272997,11.5727003,28.37705918,71.62294082,34.83221477,29.5424039,2.599145821,26.94325808,0.652837096,64.27089689,2.463602049,97.53639795,2.729970326,0.410035069,1.726463448,0.695980577,1.489074723,5.076881575,87.65578635,0,0.215807931,95.15511195
10011,2018,2072,41.05265639,3.198517564,2.552894393,11.08236483,84.13089269,48.49759125,23.20890791,6.195549889,13.58471534,37.58239495,90.46278495,9.278411793,5.585275004,79.90767158,11.30131558,9.167459185,23.75376446,95.35395853,4.646041465,2300,1300,40.6,41.4,39.1,51.62862577,48.37137423,1.470122048,3.189039834,2.007061171,1.323969606,0.825082508,0.640878041,1.055338092,3.215902986,9.689922481,11.98864072,10.34998849,8.42351677,7.717399647,5.472407706,8.534806969,3.319517998,4.935144677,2.747716632,2.663289585,3.238928544,2.778417377,1.515849259,1.519686852,3.293192431,2.134021463,2.310149914,1.445891701,1.318915376,0.913410338,1.114114852,4.304907021,13.37347424,14.17219628,6.549520767,6.869009585,7.213074465,4.112394528,7.143442287,2.482182354,3.239944294,1.814532645,2.830343246,4.841484394,4.05095437,2.02752519,2.44531826,79.90767158,5.585275004,0.110952607,9.167459185,0.009906483,1.73957838,88.69868442,11.30131558,11989,35.92459755,30.22770873,19.81816665,0,8.39775686,1.950731023,3.945523733,2.443420789,40.52140528,59.47859472,0,6.304829554,55.26211942,2.631818596,24.95826124,27.59007983,3.812646086,100,94.24763986,5.752360137,0,7.27136187,9.272863813,15.54510726,21.87612238,10.60828681,18.12779574,6.340810396,5.142521305,5.81513044,79.62784949,18.20928316,1.283987915,0.635127712,0.243751717,53.7397552,32.34022415,0.942198894,2.996536666,9.98128509,77.25953481,8.496504926,14.24396027,11.08236483,83012,128613,93291,2115,72.18528974,6.195549889,18.92055975,0.877272865,1.821327748,0,0,0.764957654,2.60449868,6.368576025,1.247609507,11.52900464,21.2275749,23.22192879,16.04589746,7.491728136,2.835200194,0.094101934,2072,4.400603404,5.755904398,11.04982794,41.05265639,37.74100787,85.77989043,3.728749883,5295,92.67712345,3.594126671,68.59781696,31.40218304,96.07176582,3.928234183,7061,69.74932729,0.961224671,0.996825585,8.704423414,2.047052541,3.159581096,4.50351559,16.19248227,7.164683894,5.574509746,50.69570119,0,48988,40.48950763,0.665490295,6.917065793,28.14217293,59.51049237,8.860151614,17.31211196,31.01567592,86.41528466,13.58471534,37.58239495,62.41760505,29.73770942,23.79154079,2.296759132,21.30252678,0.803350728,69.16025817,2.178853971,97.82114603,1.403269351,1.480404664,1.696976889,2.388227965,7.60376183,11.4130596,73.46248554,0.222505711,0.329308452,88.96074999
