geoid,total_count,total_tested,race_White_count,race_White_tested,race_Asian_count,race_Asian_tested,race_Hispanic_count,race_Hispanic_tested,race_Black_count,race_Black_tested,race_NH/PI*_count,race_NH/PI*_tested,race_AI/AN**_count,race_AI/AN**_tested,race_unkown_count,race_unkown_tested,race_other_count,race_other_tested,age_<20_count,age_<20_tested,age_20-29_count,age_20-29_tested,age_30-39_count,age_30-39_tested,age_40-49_count,age_40-49_tested,age_50-59_count,age_50-59_tested,age_60-69_count,age_60-69_tested,age_70-79_count,age_70-79_tested,age_80+_count,age_80+_tested,age_Unknown_count,age_Unknown_tested,gender_male_count,gender_male_tested,gender_female_count,gender_female_tested,gender_unkown_count,gender_unkown_tested
1760453,882,7879,0,8,38,339,107,1176,139,1026,111,1068,169,1335,109,1330,94,873,115,724,241,2578,121,609,334,3978,25,201,16,82,142,421,0,0,0,9,420,3412,451,4305,11,162
1760525,336,5332,0,11,23,431,41,604,47,619,46,640,49,896,57,953,34,643,39,535,149,2147,22,160,88,2452,10,175,0,50,61,347,0,0,0,0,163,2275,173,2885,0,172
1760068,349,4763,0,0,16,322,37,603,50,602,33,583,50,819,48,713,24,513,91,604,207,1831,0,22,79,2444,18,207,21,130,19,120,0,7,0,0,147,1996,193,2709,9,58
1760015,204,3093,0,0,12,314,17,335,20,408,28,390,32,487,20,465,31,377,44,316,140,1571,6,16,24,1248,13,151,10,54,10,49,0,0,0,0,83,1350,119,1653,0,90
1760201,354,5830,0,27,24,396,45,631,58,975,49,623,43,746,42,734,45,557,48,1141,130,1913,98,577,33,2684,29,381,10,68,51,201,0,0,0,0,166,2277,188,3367,0,186
1760107,687,5320,0,8,46,355,129,918,136,896,131,857,134,1012,69,647,34,365,7,262,62,493,13,99,281,3910,15,87,41,181,262,530,10,19,0,0,342,2200,329,2807,16,313
1760455,380,2358,0,0,24,129,40,292,49,333,48,317,56,415,78,434,47,243,37,193,118,833,27,101,127,1033,28,151,0,29,75,206,0,0,0,0,197,1155,178,1161,0,42
1760153,541,3606,0,0,47,261,100,595,96,621,110,598,90,592,47,477,37,302,13,155,30,215,234,1603,100,1088,24,197,0,6,152,495,0,0,0,0,249,1573,280,1958,12,75
1760457,151,1636,0,0,16,102,29,278,22,230,30,256,23,295,20,249,6,157,0,66,50,491,0,56,53,867,16,108,11,30,16,80,0,0,0,0,75,696,75,750,0,190
1760656,321,4004,0,0,7,195,64,724,58,501,55,776,63,690,44,601,17,268,13,248,140,1414,9,37,83,1905,26,205,17,107,41,294,0,39,0,0,157,2064,161,1874,0,66
1760193,295,4662,0,12,18,253,50,751,36,643,44,676,57,793,46,697,24,467,20,370,78,799,7,60,132,3333,10,79,29,188,38,195,0,6,0,0,136,1734,154,2614,0,314
1760141,27,919,0,18,0,0,0,73,0,34,0,66,0,95,0,210,7,356,0,63,6,38,6,29,8,107,6,730,0,0,0,13,0,0,0,0,21,828,6,74,0,17
1760638,1215,8496,0,7,93,599,211,1571,212,1294,253,1567,194,1301,124,1106,65,558,63,493,286,2312,63,247,302,3798,74,537,0,20,486,1571,0,0,0,7,582,4160,622,4234,11,102
1760652,1046,6711,0,8,70,484,177,1020,173,994,208,1131,169,1229,100,1026,54,422,95,397,54,537,240,1382,365,3771,35,177,0,14,348,826,0,0,0,0,470,2945,539,3462,37,304
1760629,3573,16764,0,18,336,1714,660,3019,749,3597,771,3257,587,2460,323,1675,106,712,41,312,166,1446,270,1415,865,8439,143,635,0,28,2120,4780,0,0,0,16,1774,7737,1756,8806,43,221
1760641,1656,12558,0,15,134,929,292,2370,303,2080,332,2195,293,2115,202,1627,66,750,34,477,182,2153,37,228,371,5770,78,611,38,203,945,3531,0,50,0,12,807,5672,823,6705,26,181
1760625,1557,11916,0,17,81,740,256,2467,251,1897,289,1888,247,1699,207,1653,120,887,106,668,257,2932,69,410,276,5065,71,800,146,648,720,1936,11,107,7,18,787,5148,710,5877,60,891
1760614,603,9075,0,20,8,380,75,1826,147,2115,70,1025,50,952,56,944,82,905,115,908,280,3207,93,462,100,4591,14,218,32,232,83,350,0,10,0,0,258,3460,330,5302,15,313
1760626,1172,11413,0,24,42,384,157,1827,151,1564,152,1663,193,1890,193,2062,169,1279,114,720,304,1715,265,1266,261,7139,53,384,36,170,250,724,0,9,0,6,579,4796,562,5548,31,1069
1760654,182,2440,0,0,0,57,53,842,39,622,28,304,35,254,17,235,0,82,0,44,73,867,38,170,37,1172,7,108,13,69,14,46,0,0,0,0,117,1139,63,1281,0,20
1760422,96,1450,0,0,7,100,13,125,9,147,20,225,19,288,13,281,0,192,11,91,13,230,50,417,31,774,0,14,0,0,0,7,0,0,0,0,45,632,51,809,0,9
1760466,514,4172,0,10,18,211,75,561,54,444,94,735,150,939,88,740,28,361,7,171,120,609,226,1276,140,2152,0,61,0,0,20,65,0,0,0,0,268,1773,242,2282,0,117
1760517,257,3752,0,0,29,287,51,639,34,497,41,543,53,689,31,596,13,345,0,152,84,1099,36,252,49,1927,0,123,28,132,52,211,0,7,0,0,128,1572,127,2095,0,85
1760417,190,2365,0,0,7,96,27,265,19,222,26,295,29,349,31,430,20,367,31,341,66,909,53,366,46,980,6,47,0,7,18,53,0,0,0,0,80,981,107,1315,0,69
1760173,113,1112,0,0,7,50,21,229,21,200,18,157,23,151,8,153,0,78,12,90,14,151,0,25,46,795,8,24,16,56,22,51,0,0,0,6,53,472,57,602,0,38
1760406,556,4295,0,0,62,340,101,721,97,733,85,732,111,882,53,516,27,254,20,117,38,357,109,599,265,2988,19,75,0,6,122,263,0,0,0,7,273,2258,280,1987,0,50
1760445,185,2468,0,0,16,162,33,365,27,364,43,372,32,427,20,449,7,210,7,117,30,521,19,153,95,1624,6,40,0,17,34,104,0,0,0,9,82,1091,99,1346,0,31
1760521,211,2235,0,0,9,256,11,174,14,213,10,287,33,393,39,345,46,303,49,263,106,744,0,14,67,1312,8,83,7,51,17,29,0,0,0,0,112,969,98,1245,0,21
1760558,78,1500,0,0,20,217,13,169,15,175,9,158,10,259,0,257,0,155,0,110,44,728,0,0,25,706,0,42,0,0,0,18,0,0,0,0,43,656,35,834,0,10
1760043,19,298,0,0,0,39,0,33,0,39,0,39,9,91,0,29,0,15,0,12,15,156,0,0,0,116,0,19,0,0,0,0,0,0,0,0,9,149,10,144,0,0
1760062,360,6594,0,17,14,376,28,671,38,650,43,808,60,1063,57,1003,42,806,78,1200,178,2556,6,72,87,3210,33,273,30,254,23,197,0,22,0,10,165,2439,187,3537,8,618
1760301,32,442,0,0,0,51,8,83,7,71,0,64,8,66,0,44,0,41,0,22,11,150,9,66,0,163,0,29,0,11,0,20,0,0,0,0,13,190,19,242,0,10
1760202,461,4719,0,0,29,409,58,729,54,617,69,683,64,750,59,769,36,413,92,349,135,1250,125,637,55,2074,34,361,14,74,98,309,0,11,0,0,191,1896,268,2729,0,94
1760634,1602,13502,0,14,101,820,290,2378,240,1976,314,2344,311,2423,212,1952,73,898,60,697,313,3072,28,188,331,5840,87,780,64,307,757,3177,20,126,0,12,780,6347,810,6967,12,188
1760163,101,749,0,0,8,46,16,121,18,128,25,139,18,131,9,89,0,72,0,23,7,116,15,185,26,259,0,30,0,13,49,144,0,0,0,0,44,333,55,404,0,12
1760162,179,1802,0,0,10,59,26,286,38,240,33,277,26,267,27,359,10,163,9,146,17,150,53,460,29,855,9,91,0,17,67,228,0,0,0,0,82,700,90,932,7,170
1760419,441,4376,0,0,22,231,59,553,60,544,60,620,87,842,82,915,41,413,30,254,11,94,285,1757,119,2434,6,52,0,0,19,36,0,0,0,0,182,1770,255,2495,0,111
1760438,441,4064,0,0,25,245,71,558,63,561,78,696,89,784,61,624,27,382,27,211,58,581,154,943,166,2277,13,92,0,12,48,156,0,0,0,0,180,1652,259,2337,0,75
1760616,515,8336,0,9,17,319,82,1492,81,1124,75,1081,87,1319,88,1495,45,879,40,618,50,917,217,1816,112,4244,8,213,58,742,68,386,0,10,0,8,247,3538,260,4230,8,568
1760630,880,7593,0,0,50,497,141,1421,172,1225,134,1180,135,1301,103,1051,61,522,84,394,221,2158,23,88,180,3254,55,497,73,317,306,1162,18,110,0,7,422,3588,453,3911,0,94
1760651,1879,10480,0,19,172,881,377,2015,327,1752,365,1878,288,1631,189,1319,131,758,30,227,40,463,581,3042,353,4292,49,343,0,14,852,2313,0,6,0,7,860,4640,993,5610,26,230
1760645,1145,8151,0,11,72,598,191,1217,193,1295,169,1117,191,1261,167,1339,72,714,90,599,342,1865,165,635,160,3992,101,609,97,351,277,656,0,29,0,14,545,3609,590,4333,10,209
1760471,231,2251,0,0,10,120,41,288,18,229,50,371,50,509,38,395,17,251,7,85,11,108,148,924,59,1164,6,27,0,0,6,21,0,0,0,0,96,898,134,1305,0,48
1760305,63,1197,0,0,0,119,9,136,10,135,13,205,10,207,12,194,0,154,0,47,25,621,9,102,14,351,0,53,0,15,9,52,0,0,0,0,34,508,29,678,0,11
1760604,24,224,0,0,0,11,0,42,0,49,10,37,0,36,0,32,0,15,0,0,0,36,0,46,11,99,0,9,0,0,0,26,0,0,0,0,17,128,7,92,0,0
1760523,117,1394,0,0,0,53,8,99,0,116,0,98,14,186,17,252,15,321,51,269,61,558,0,8,20,588,10,113,16,87,7,38,0,0,0,0,49,648,68,731,0,15
1760803,287,2636,0,0,12,134,50,419,42,383,58,391,56,482,44,435,17,270,8,121,46,615,45,310,126,1500,10,65,8,25,50,119,0,0,0,0,128,1093,158,1507,0,36
1760482,114,1029,0,0,10,50,20,161,19,151,14,150,32,205,9,175,0,79,0,58,36,383,0,23,57,542,0,40,0,0,10,31,0,0,0,0,45,477,69,529,0,23
1760472,74,895,0,0,6,27,6,100,12,91,16,129,17,187,11,191,0,107,0,60,0,34,44,364,21,474,0,8,0,0,0,15,0,0,0,0,45,422,29,461,0,12
1760018,700,4952,0,7,41,283,106,725,122,721,125,686,112,807,74,674,40,443,80,606,121,1079,13,60,246,2682,27,183,28,154,261,761,0,23,0,10,330,2005,353,2618,17,329
1760022,34,831,0,0,6,129,0,57,8,106,0,106,9,137,0,148,0,105,0,43,24,491,0,0,0,268,0,43,0,12,0,11,0,0,0,0,19,370,15,448,0,13
1760712,191,2281,0,0,13,108,26,261,21,264,30,240,24,268,20,276,13,262,44,601,77,893,0,44,44,761,23,264,30,169,10,128,0,14,0,8,93,891,95,1273,0,117
1760462,400,4493,0,0,24,276,55,606,77,592,53,602,76,750,40,706,30,532,44,425,128,1548,22,108,190,2540,18,136,18,84,23,62,0,0,0,12,166,1750,229,2663,0,80
1760103,326,4179,0,0,14,299,51,674,56,565,61,552,74,748,44,572,14,352,12,413,94,977,7,55,126,2780,9,60,32,160,56,136,0,10,0,0,144,1652,177,2256,0,271
1760171,138,1326,0,0,13,75,23,221,28,227,27,199,24,213,20,213,0,100,0,74,34,523,0,13,40,463,6,74,0,11,51,229,0,12,0,0,69,616,69,690,0,20
1760029,8,96,0,0,0,6,0,18,0,21,0,14,0,20,0,14,0,0,0,0,0,27,0,0,0,57,0,10,0,0,0,0,0,0,0,0,6,57,0,38,0,0
1760154,226,2644,0,0,17,102,32,357,27,226,37,352,32,460,35,542,31,365,15,236,38,836,66,393,49,1003,17,123,9,43,46,237,0,8,0,0,102,1102,122,1490,0,52
1760155,184,1151,0,0,19,72,24,168,24,141,38,207,34,198,25,202,12,102,8,59,10,79,100,570,37,382,10,37,6,21,17,60,0,0,0,0,80,492,99,630,0,29
1760165,186,739,0,0,24,81,33,160,39,157,35,102,28,116,15,69,10,39,0,14,24,139,0,18,42,283,11,42,0,0,102,253,0,0,0,0,88,349,96,385,0,0
1760428,245,2118,0,0,24,163,43,283,33,289,42,327,38,362,35,388,17,201,13,103,0,70,127,692,85,1273,7,20,0,0,21,57,0,0,0,0,99,871,145,1204,0,43
1760623,3584,14432,0,26,329,1479,699,2742,614,2760,748,2599,635,2309,340,1561,154,672,65,284,104,751,489,2168,731,6059,136,515,0,20,2122,4912,0,0,0,0,1758,6794,1744,7310,82,328
1760608,1887,11986,0,15,143,763,351,2668,372,2846,329,1859,331,1582,209,1269,105,589,47,395,147,1782,305,1706,261,3804,53,454,24,276,1093,3929,0,19,0,16,1037,6103,804,5616,46,267
1760612,752,6765,0,0,39,439,150,1419,124,1218,137,1075,133,1113,113,942,40,368,16,188,53,800,470,2575,121,2614,12,242,7,87,88,440,0,0,0,0,382,3249,353,3300,17,216
1760601,89,1570,0,0,0,47,26,373,29,416,7,144,9,163,6,177,0,165,7,82,45,481,14,137,15,747,0,81,9,82,0,38,0,0,0,0,47,732,42,809,0,29
1760659,834,5478,0,9,61,473,143,971,145,883,139,795,134,857,112,798,45,410,55,282,167,1031,63,275,127,2564,87,537,144,463,232,542,7,48,7,18,404,2491,406,2873,24,114
1760007,380,3822,0,7,17,180,36,459,38,465,49,452,52,595,52,679,54,423,82,562,124,535,0,16,162,3045,15,58,12,41,59,125,0,0,0,0,175,1571,202,2149,0,102
1760430,300,3073,0,0,10,187,41,338,28,307,35,394,51,541,36,611,48,413,51,279,50,627,145,701,83,1632,6,54,0,17,12,33,0,0,0,8,126,1276,170,1740,0,57
1760423,196,3020,0,0,12,244,22,322,31,440,31,465,52,612,27,505,12,293,9,139,93,1065,16,91,68,1712,0,89,8,24,7,37,0,0,0,0,102,1344,94,1641,0,35
1760194,192,3108,0,0,14,116,37,316,27,244,34,298,25,380,17,344,11,305,27,1103,39,282,0,30,80,2615,6,52,18,58,42,68,0,0,0,0,81,1075,107,1831,0,202
1760459,472,3900,0,0,30,237,89,570,96,665,87,644,68,583,61,550,26,348,15,299,140,1263,22,219,64,1683,19,160,0,30,221,539,0,0,0,6,225,1695,247,2117,0,88
1760415,228,2122,0,0,11,82,32,345,39,334,26,283,25,391,39,362,27,174,29,148,85,664,33,225,72,1012,13,79,0,25,18,110,0,0,0,7,111,908,112,1053,0,161
1760501,311,1704,0,0,34,157,43,278,80,342,75,324,42,249,17,183,12,105,8,65,46,347,12,87,80,753,23,140,0,9,148,365,0,0,0,0,149,752,160,934,0,18
1760133,791,5347,0,8,75,438,138,957,166,1013,155,884,155,924,71,662,21,278,10,183,71,544,29,153,254,3698,21,112,39,170,366,659,10,10,0,0,387,2146,383,2690,21,511
