geoid,total_count,total_tested,race_White_count,race_White_tested,race_Asian_count,race_Asian_tested,race_Black_count,race_Black_tested,race_Hispanic_count,race_Hispanic_tested,race_NH/PI*_count,race_NH/PI*_tested,race_AI/AN**_count,race_AI/AN**_tested,race_unkown_count,race_unkown_tested,race_other_count,race_other_tested,age_<20_count,age_<20_tested,age_20-29_count,age_20-29_tested,age_30-39_count,age_30-39_tested,age_40-49_count,age_40-49_tested,age_50-59_count,age_50-59_tested,age_60-69_count,age_60-69_tested,age_70-79_count,age_70-79_tested,age_80+_count,age_80+_tested,age_Unknown_count,age_Unknown_tested,gender_male_count,gender_male_tested,gender_female_count,gender_female_tested,gender_unkown_count,gender_unkown_tested
1760002,123,1743,0,0,13,162,19,243,24,214,25,274,21,338,16,286,0,143,0,80,55,981,8,29,25,557,0,69,0,28,28,75,0,0,0,0,65,712,58,976,0,55
1760004,388,8625,0,143,33,578,60,925,55,1006,57,1026,61,1160,42,1157,26,812,50,1818,119,2639,9,150,152,5196,20,190,17,133,70,307,0,7,0,0,167,3154,193,4297,28,1174
1760005,237,4252,0,0,14,301,38,454,39,518,41,529,34,604,26,606,19,498,26,738,64,705,13,44,88,3229,9,76,10,49,52,143,0,0,0,0,106,1644,131,2168,0,440
1760007,380,3822,0,7,17,180,38,465,36,459,49,452,52,595,52,679,54,423,82,562,124,535,0,16,162,3045,15,58,12,41,59,125,0,0,0,0,175,1571,202,2149,0,102
1760008,361,4281,0,0,28,315,40,546,68,579,80,597,66,663,50,719,20,481,9,376,59,772,0,18,128,3010,11,81,6,57,152,339,0,0,0,0,192,1881,166,2295,0,105
1760010,190,3858,0,0,21,356,28,439,25,348,14,477,37,693,25,625,15,460,25,458,90,1314,0,16,76,2340,0,63,8,70,9,47,0,0,0,0,99,1599,90,2200,0,59
1760012,93,889,0,0,0,61,7,100,0,78,6,85,15,158,0,148,12,113,43,146,68,453,0,0,12,387,0,15,0,10,8,17,0,0,0,0,40,366,52,515,0,8
1760013,132,1740,0,0,13,145,23,232,22,232,18,245,28,314,21,334,0,146,0,92,73,866,0,7,11,767,0,14,0,9,45,74,0,0,0,0,59,758,73,961,0,21
1760014,344,4179,0,0,33,311,43,514,60,613,55,584,51,718,41,635,25,388,36,415,200,1928,11,42,16,1878,0,60,10,33,104,230,0,0,0,0,146,1680,196,2381,0,118
1760015,204,3093,0,0,12,314,20,408,17,335,28,390,32,487,20,465,31,377,44,316,140,1571,6,16,24,1248,13,151,10,54,10,49,0,0,0,0,83,1350,119,1653,0,90
1760016,1162,8630,0,13,63,370,189,1269,168,1325,177,1233,214,1552,188,1393,74,773,88,702,258,1943,53,191,321,4596,114,530,185,668,216,612,7,51,8,39,558,3498,576,4582,28,550
1760018,700,4952,0,7,41,283,122,721,106,725,125,686,112,807,74,674,40,443,80,606,121,1079,13,60,246,2682,27,183,28,154,261,761,0,23,0,10,330,2005,353,2618,17,329
