geoid,total_cases,total_deaths
01001,17817,431
01003,25945,592
01005,11846,69
01007,6456,58
01009,6638,49
01011,12644,354
01013,26598,1099
01015,13392,266
01017,32943,1949
01019,3039,205
01021,8855,120
01023,9449,469
01025,9996,187
01027,2454,125
01029,1512,77
01031,16962,62
01033,13101,248
01035,4691,83
01037,3213,83
01039,9085,133
01041,5404,140
01043,13323,78
01045,8782,0
01047,24121,332
01049,20342,258
01051,28557,554
01053,6760,249
01055,22659,920
01057,1987,17
01059,35656,465
01061,2575,0
01063,7794,294
01065,11972,640
01067,5452,140
01069,17440,359
01071,8013,222
01073,162075,7120
01075,2388,12
01077,13797,276
01079,3768,0
01081,51055,2546
01083,11873,0
01085,17930,775
01087,6821,316
01089,37735,420
01091,11841,505
01093,10257,791
01095,58170,657
01097,168772,8084
01099,5447,141
01101,133494,3311
01103,28224,90
01105,3799,4
01107,8702,299
01109,15809,91
01111,9658,567
01113,15399,0
01115,11455,90
01117,46127,1458
01119,14104,518
01121,10056,296
01123,32488,4100
01125,65491,1216
01127,29227,331
01129,5296,367
01131,11817,436
01133,6867,47
02013,46,0
02016,120,0
02020,23338,429
02050,300,0
02060,320,0
02068,10,0
02070,227,0
02090,8896,177
02100,84,0
02110,2928,18
02122,5297,60
02130,1838,0
02150,204,0
02158,2,0
02164,61,0
02170,3039,82
02180,267,0
02185,85,0
02188,143,0
02195,251,0
02198,183,0
02220,394,0
02240,335,0
02261,529,0
02275,121,0
02290,118,0
04001,102535,2807
04003,13620,244
04005,86224,5697
04007,5687,158
04009,2968,79
04011,579,34
04012,9494,195
04013,1235384,32411
04015,34058,3298
04017,147656,4879
04019,251951,13903
04021,100230,2725
04023,44802,414
04025,25369,417
04027,147474,2109
05001,691,0
05003,2512,24
05005,860,0
05007,67644,357
05009,729,12
05011,1914,95
05013,4,0
05015,3814,92
05017,2972,54
05019,3671,0
05021,1156,41
05023,7520,390
05025,1498,0
05027,2215,144
05029,1670,140
05031,18108,127
05033,3490,5
05035,30725,663
05037,3936,18
05039,235,0
05041,1838,5
05043,2062,90
05045,13549,230
05047,487,2
05049,459,0
05051,12938,60
05053,1707,0
05055,4255,0
05057,1760,87
05059,7362,1
05061,2647,10
05063,2377,0
05065,1107,33
05067,656,0
05069,36359,1714
05071,6076,0
05073,820,70
05075,6095,456
05077,14932,89
05079,71130,583
05081,1090,0
05083,1081,1
05085,5330,9
05087,4230,0
05089,166,0
05091,4716,93
05093,5880,104
05095,492,0
05097,132,0
05099,2679,40
05101,279,0
05103,946,0
05105,1124,0
05107,2786,112
05109,431,0
05111,2886,157
05113,2397,1
05115,13614,89
05117,508,0
05119,81991,2704
05121,2198,17
05123,39351,86
05125,10525,117
05127,259,0
05129,645,0
05131,8943,80
05133,19060,197
05135,2682,166
05137,882,0
05139,11431,517
05141,2788,184
05143,80575,743
05145,4318,77
05147,209,0
05149,14471,106
06001,270623,7592
06003,149,0
06005,897,0
06007,4933,47
06009,1659,0
06011,799,0
06013,132187,3392
06015,2199,0
06017,7776,0
06019,158259,2696
06021,2182,0
06023,7945,161
06025,186801,2563
06027,1951,73
06029,185683,2808
06031,79978,572
06033,1882,1
06035,2288,0
06037,4274319,171598
06039,13748,258
06041,56787,1333
06043,1130,51
06045,2599,0
06047,29145,515
06049,2,0
06051,3024,96
06053,52435,739
06055,11635,262
06057,5010,93
06059,527186,12247
06061,25400,798
06063,412,0
06065,682129,23647
06067,137497,4765
06069,8656,203
06071,441818,13904
06073,610778,20529
06075,202752,3190
06077,108214,3058
06079,25882,96
06081,169358,6336
06083,128168,1154
06085,253753,11667
06087,18232,229
06089,4358,376
06091,44,0
06093,1003,0
06095,47279,1296
06097,47092,360
06099,75567,2032
06101,5641,205
06103,1217,70
06105,140,0
06107,155505,6091
06109,656,0
06111,102789,2531
06113,20710,1703
06115,2896,92
08001,232936,8900
08003,6239,203
08005,319066,20402
08007,710,0
08009,1082,0
08011,143,0
08013,76262,4581
08014,18438,1698
08015,6015,1384
08017,286,0
08019,1418,75
08021,313,0
08023,709,0
08025,3534,108
08027,187,0
08029,4943,88
08031,413585,22197
08035,58708,3169
08037,54731,707
08039,3769,146
08041,132003,7695
08043,2114,0
08045,12950,184
08047,292,0
08049,939,6
08051,15784,476
08053,272,0
08055,247,4
08057,15,0
08059,168620,11547
08063,2175,205
08065,2455,0
08067,6722,57
08069,45060,1985
08071,424,0
08073,278,0
08075,37625,256
08077,5257,0
08079,240,0
08081,649,0
08083,3324,235
08085,12765,934
08087,42601,2616
08089,1307,72
08091,629,87
08093,1599,0
08095,926,0
08097,6181,199
08099,883,0
08101,20887,1359
08103,127,0
08105,2529,27
08107,5435,437
08109,4017,66
08111,67,0
08113,2058,0
08117,16785,176
08119,2857,190
08121,2135,0
08123,190198,9984
08125,2203,0
09001,1201265,91534
09003,724700,84896
09005,103546,9276
09007,81153,10585
09009,837209,66379
09011,75689,5735
09013,58116,4382
09015,29528,843
10001,100296,4550
10003,269120,11561
10005,286488,9231
11001,622444,31644
12001,41039,549
12003,2786,287
12005,11777,275
12007,4580,163
12009,48870,974
12011,673353,23665
12013,3656,218
12015,35437,4035
12017,12297,982
12019,33346,2146
12021,144522,3505
12023,11809,154
12027,17420,600
12029,2957,119
12031,174901,3537
12033,73388,2182
12035,15136,325
12037,242,0
12039,18240,196
12041,2339,0
12043,4681,96
12045,493,0
12047,13447,52
12049,10727,40
12051,32025,1027
12053,12702,388
12055,12773,731
12057,274328,5843
12059,3231,0
12061,18296,788
12063,15613,55
12065,2652,225
12067,816,0
12069,37731,1225
12071,189077,7795
12073,35819,466
12075,5119,36
12077,12783,33
12079,6723,220
12081,99004,7195
12083,24462,541
12085,62268,952
12086,1606680,51084
12087,10642,319
12089,7384,64
12091,23361,433
12093,9172,0
12095,263771,3352
12097,70580,1380
12099,541102,26533
12101,48296,990
12103,167994,6622
12105,105693,4256
12107,13967,339
12109,30170,473
12111,53147,2491
12113,22056,739
12115,57119,5609
12117,66912,934
12119,21601,1331
12121,16901,1329
12123,2270,4
12125,2166,53
12127,70912,2938
12129,2778,84
12131,9451,434
12133,4087,346
13001,11469,821
13003,4012,120
13005,8719,187
13007,2708,223
13009,26870,1640
13011,5757,22
13013,23930,1131
13015,40527,3005
13017,5949,52
13019,3920,4
13021,38163,1839
13023,2990,20
13025,4056,171
13027,6500,679
13029,6326,357
13031,8176,196
13033,9089,376
13035,16410,1613
13037,10489,420
13039,5267,81
13043,1260,0
13045,42731,2060
13047,11271,122
13049,2249,74
13051,44410,1734
13053,10551,5
13055,2284,157
13057,67173,2280
13059,23351,1261
13061,3185,191
13063,98870,3991
13065,4150,102
13067,238950,13063
13069,22016,946
13071,36573,1078
13073,21019,490
13075,4487,112
13077,32206,697
13079,2119,0
13081,17642,582
13083,2676,93
13085,8017,147
13087,13212,352
13089,288084,8408
13091,4073,120
13093,13319,885
13095,152015,11834
13097,44558,1774
13099,20135,2175
13101,6756,0
13103,5782,91
13105,4918,0
13107,3254,117
13109,658,0
13111,4120,70
13113,20018,1096
13115,23415,1122
13117,40590,965
13119,6482,66
13121,366742,17100
13123,9852,54
13125,132,0
13127,16094,145
13129,15199,1225
13131,8724,293
13133,5867,481
13135,319854,9349
13137,36694,1599
13139,180814,3165
13141,11730,1318
13143,3754,221
13145,10898,383
13147,2415,0
13149,2301,178
13151,60878,1715
13153,30806,1470
13155,2565,74
13157,15390,392
13159,3201,45
13161,3340,102
13163,3352,87
13165,2993,292
13167,5767,158
13169,3383,0
13171,5221,202
13173,3546,153
13175,8467,84
13177,31094,1905
13179,5828,33
13181,1507,33
13183,1281,45
13185,36039,416
13187,7100,104
13189,5315,394
13191,1247,36
13193,7704,447
13195,4107,155
13197,4320,134
13199,7978,120
13201,3220,0
13205,31853,2754
13207,7487,698
13209,1001,0
13211,3032,0
13213,7649,75
13215,58952,1638
13217,28119,766
13219,8564,395
13221,5083,425
13223,26766,897
13225,6002,400
13227,4085,292
13229,8272,289
13231,4680,192
13233,9462,42
13235,3141,132
13237,6688,616
13239,843,81
13241,1846,114
13243,15073,1671
13245,47446,2127
13247,23929,686
13249,1565,90
13251,3492,208
13253,3409,162
13255,22352,1533
13257,10249,219
13259,4354,62
13261,38518,3183
13263,3212,126
13265,86,0
13267,3110,0
13269,1806,179
13271,3585,83
13273,17524,2005
13275,24515,2218
13277,24767,1168
13279,6795,324
13281,2140,68
13283,864,17
13285,39519,1084
13287,9323,934
13289,1201,35
13291,3516,136
13293,22369,2426
13295,11900,162
13297,18833,1088
13299,18515,1051
13301,1407,0
13303,5506,80
13305,2167,0
13307,1057,90
13309,1353,0
13311,7735,182
13313,32559,606
13315,8173,935
13317,2767,53
13319,4529,377
13321,18257,1398
15001,6728,0
15003,42376,906
15007,2215,0
15009,10459,478
16001,84992,1689
16003,385,0
16005,3284,34
16007,9,0
16009,697,0
16011,1259,3
16013,47956,468
16015,30,0
16017,744,0
16019,4557,21
16021,9,0
16025,96,0
16027,31480,536
16029,338,0
16031,6587,96
16035,12,0
16037,221,0
16039,2979,147
16041,603,0
16043,309,0
16045,1461,0
16047,3032,14
16049,297,0
16051,777,0
16053,11513,211
16055,8583,17
16057,637,0
16059,91,0
16063,2596,0
16065,1829,0
16067,4907,0
16069,6401,1492
16071,19,0
16073,1119,0
16075,2649,148
16077,558,0
16079,3,0
16081,1022,0
16083,30055,1521
16085,322,0
16087,3113,2
17001,4063,65
17003,852,0
17005,840,80
17007,28019,1175
17009,587,0
17011,1418,66
17013,91,0
17015,1205,172
17017,5308,23
17019,40798,632
17021,3082,450
17023,807,0
17025,158,0
17027,13320,970
17029,7520,747
17031,5377080,251460
17033,1017,0
17035,656,0
17037,26716,593
17039,318,0
17041,2397,0
17043,513587,25906
17045,159,0
17047,106,0
17049,619,87
17051,1639,198
17053,1483,89
17055,950,0
17057,689,2
17059,173,0
17061,422,0
17063,7446,134
17065,176,0
17067,1055,33
17069,75,0
17071,527,0
17073,5217,23
17075,8350,250
17077,17822,937
17079,3473,473
17081,7396,1094
17083,1776,71
17085,2193,32
17087,808,0
17089,394675,12490
17091,74543,3748
17093,52635,1403
17095,6740,0
17097,562788,21399
17099,10657,800
17101,343,0
17103,5489,65
17105,2613,121
17107,798,0
17109,5340,600
17111,108320,5225
17113,15502,724
17115,13748,1378
17117,3362,117
17119,45746,3722
17121,3873,0
17123,428,0
17125,1271,0
17127,548,0
17129,1380,0
