2018,C0,C1,C2,C3,C4
total_count,13397.0,7474.0,27930.0,30667.0,21739.0
total_count (/10K pop),92.8,109.83,317.38,174.87,197.26
total_tested,189002.0,104017.0,145423.0,268369.0,199497.0
total_tested (/10K pop),1309.15,1528.59,1652.49,1530.34,1810.27
total_Confirmed (%),7.09,7.19,19.21,11.43,10.9
race_White_count,5562.0,2244.0,2058.0,6237.0,930.0
race_White_count (/10K pop),46.91,47.9,48.34,51.06,57.45
race_White_tested,66068.0,27890.0,17670.0,64394.0,10688.0
race_White_tested (/10K pop),557.2,595.37,415.02,527.13,660.26
race_White_Confirmed (%),8.42,8.05,11.65,9.69,8.7
race_Black_count,910.0,1488.0,2123.0,2108.0,12535.0
race_Black_count (/10K pop),129.12,193.31,175.2,154.07,146.36
race_Black_tested,6364.0,8979.0,11337.0,13511.0,84144.0
race_Black_tested (/10K pop),903.0,1166.47,935.57,987.51,982.49
race_Black_Confirmed (%),14.3,16.57,18.73,15.6,14.9
race_Asian_count,662.0,381.0,125.0,1608.0,37.0
race_Asian_count (/10K pop),52.47,40.74,40.79,97.91,30.74
race_Asian_tested,4484.0,3485.0,1213.0,7707.0,618.0
race_Asian_tested (/10K pop),355.39,372.62,395.78,469.28,513.46
race_Asian_Confirmed (%),14.76,10.93,10.31,20.86,5.99
race_Hispanic_count,1441.0,1387.0,16140.0,10883.0,2535.0
race_Hispanic_count (/10K pop),120.51,181.53,273.15,221.42,196.83
race_Hispanic_tested,6790.0,5164.0,43387.0,34532.0,8281.0
race_Hispanic_tested (/10K pop),567.83,675.87,734.27,702.57,642.97
race_Hispanic_Confirmed (%),21.22,26.86,37.2,31.52,30.61
race_NH/PI*_count,0.0,0.0,16.0,116.0,0.0
race_NH/PI*_tested,254.0,111.0,78.0,1054.0,20.0
race_NH/PI*_Confirmed (%),0.0,0.0,20.51,11.01,0.0
race_AI/AN**_count,0.0,0.0,0.0,39.0,0.0
race_AI/AN**_tested,109.0,68.0,73.0,271.0,127.0
race_AI/AN**_Confirmed (%),0.0,0.0,0.0,14.39,0.0
race_unkown_count,3967.0,1577.0,6286.0,7720.0,5055.0
race_unkown_tested,97939.0,54544.0,64716.0,133599.0,92090.0
race_unkown_Confirmed (%),4.05,2.89,9.71,5.78,5.49
race_other_count,572.0,281.0,1132.0,1762.0,512.0
race_other_tested,6824.0,3712.0,6889.0,13183.0,3404.0
race_other_Confirmed (%),8.38,7.57,16.43,13.37,15.04
age_Unknown_count,0.0,0.0,13.0,0.0,0.0
age_Unknown_tested,269.0,87.0,169.0,232.0,160.0
age_Unknown_Confirmed (%),0.0,0.0,7.69,0.0,0.0
age_<20_count,833.0,220.0,2536.0,2030.0,1443.0
age_<20_count (/10K pop),22.9,22.08,94.3,48.04,48.32
age_<20_tested,13240.0,3887.0,12906.0,16828.0,13124.0
age_<20_tested (/10K pop),364.04,390.2,479.92,398.19,439.46
age_<20_Confirmed (%),6.29,5.66,19.65,12.06,11.0
age_20-29_count,1782.0,1402.0,5314.0,5008.0,3173.0
age_20-29_count (/10K pop),130.41,80.17,372.59,206.7,195.4
age_20-29_tested,22571.0,20926.0,28784.0,40787.0,26164.0
age_20-29_tested (/10K pop),1651.79,1196.64,2018.2,1683.42,1611.27
age_20-29_Confirmed (%),7.9,6.7,18.46,12.28,12.13
age_30-39_count,1728.0,1366.0,5193.0,5170.0,3465.0
age_30-39_count (/10K pop),106.83,87.99,395.0,189.25,256.5
age_30-39_tested,24002.0,24262.0,26444.0,45224.0,28432.0
age_30-39_tested (/10K pop),1483.85,1562.87,2011.44,1655.41,2104.7
age_30-39_Confirmed (%),7.2,5.63,19.64,11.43,12.19
age_40-49_count,1956.0,980.0,5766.0,5375.0,3691.0
age_40-49_count (/10K pop),99.01,122.3,501.69,233.52,272.45
age_40-49_tested,25833.0,13088.0,25585.0,40669.0,29623.0
age_40-49_tested (/10K pop),1307.61,1633.37,2226.1,1766.9,2186.59
age_40-49_Confirmed (%),7.57,7.49,22.54,13.22,12.46
age_50-59_count,2201.0,1100.0,4747.0,5206.0,3801.0
age_50-59_count (/10K pop),97.46,161.83,495.28,222.71,260.12
age_50-59_tested,31435.0,13428.0,22842.0,42710.0,36044.0
age_50-59_tested (/10K pop),1391.93,1975.55,2383.25,1827.14,2466.62
age_50-59_Confirmed (%),7.0,8.19,20.78,12.19,10.55
age_60-69_count,1709.0,984.0,2673.0,3743.0,3021.0
age_60-69_count (/10K pop),92.81,178.25,376.5,201.2,259.42
age_60-69_tested,29103.0,12853.0,16144.0,38211.0,34017.0
age_60-69_tested (/10K pop),1580.52,2328.27,2273.93,2053.98,2921.17
age_60-69_Confirmed (%),5.87,7.66,16.56,9.8,8.88
age_70-79_count,1223.0,672.0,1105.0,1890.0,1836.0
age_70-79_count (/10K pop),117.39,221.29,298.19,190.71,271.68
age_70-79_tested,20351.0,8760.0,7753.0,21925.0,20068.0
age_70-79_tested (/10K pop),1953.37,2884.71,2092.18,2212.34,2969.52
age_70-79_Confirmed (%),6.01,7.67,14.25,8.62,9.15
age_80+_count,1822.0,643.0,568.0,2174.0,1296.0
age_80+_count (/10K pop),260.72,376.55,312.36,326.87,321.7
age_80+_tested,22107.0,6692.0,4782.0,21711.0,11812.0
age_80+_Confirmed (%),8.24,9.61,11.88,10.01,10.97
gender_male_count,6230.0,3787.0,13822.0,14699.0,9684.0
gender_male_tested,78392.0,45615.0,67008.0,115221.0,83757.0
gender_male_Confirmed (%),7.95,8.3,20.63,12.76,11.56
gender_female_count,6942.0,3455.0,13618.0,15475.0,11639.0
gender_female_tested,102516.0,53964.0,74251.0,143980.0,109614.0
