2018,C0,C1,C2,C3,C4
total_count,32019.0,22676.0,9180.0,61895.0,13516.0
total_count (/10K pop),90.93,198.62,82.85,241.7,127.5
total_tested,427755.0,205203.0,131291.0,403106.0,162306.0
total_tested (/10K pop),1214.75,1797.34,1184.89,1574.14,1531.12
race_White_count,11793.0,1071.0,3738.0,7317.0,3373.0
race_White_count (/10K pop),41.4,56.95,38.41,47.78,47.82
race_White_tested,149460.0,11501.0,53569.0,74260.0,41354.0
race_White_tested (/10K pop),524.73,611.6,550.45,484.88,586.3
race_Black_count,1897.0,12800.0,1008.0,4609.0,2361.0
race_Black_count (/10K pop),119.24,147.24,153.91,159.01,176.51
race_Black_tested,13439.0,83599.0,5722.0,26942.0,15618.0
race_Black_tested (/10K pop),844.74,961.65,873.68,929.49,1167.61
race_Asian_count,1920.0,47.0,99.0,1008.0,802.0
race_Asian_count (/10K pop),59.47,47.31,63.4,73.97,58.12
race_Asian_tested,12013.0,487.0,548.0,6094.0,5626.0
race_Asian_tested (/10K pop),372.09,490.19,350.92,447.17,407.73
race_Hispanic_count,5896.0,2799.0,1956.0,32543.0,3565.0
race_Hispanic_count (/10K pop),153.6,201.19,155.64,264.47,212.43
race_Hispanic_tested,21922.0,8884.0,6002.0,93365.0,11991.0
race_Hispanic_tested (/10K pop),571.12,638.59,477.58,758.75,714.52
race_NH/PI*_count,24.0,0.0,0.0,79.0,29.0
race_NH/PI*_tested,628.0,20.0,0.0,681.0,345.0
race_AI/AN**_count,8.0,0.0,0.0,17.0,14.0
race_AI/AN**_tested,238.0,127.0,25.0,240.0,127.0
race_unkown_count,8486.0,5272.0,1850.0,13717.0,2591.0
race_unkown_tested,214476.0,96942.0,62736.0,183779.0,80071.0
race_other_count,1385.0,525.0,118.0,2382.0,648.0
race_other_tested,15141.0,3510.0,2312.0,17567.0,7090.0
age_Unknown_count,0.0,0.0,0.0,13.0,0.0
age_Unknown_tested,346.0,160.0,47.0,334.0,164.0
age_<20_count,2261.0,1585.0,640.0,5628.0,640.0
age_<20_count (/10K pop),24.64,50.53,23.5,77.24,34.4
age_<20_tested,32372.0,13789.0,9709.0,33711.0,7620.0
age_<20_tested (/10K pop),352.8,439.58,356.48,462.66,409.61
age_20-29_count,4847.0,3378.0,1438.0,11465.0,2430.0
age_20-29_count (/10K pop),129.41,206.55,107.03,298.37,96.62
age_20-29_tested,55406.0,27009.0,18153.0,71457.0,31419.0
age_20-29_tested (/10K pop),1479.24,1651.48,1351.13,1859.64,1249.21
age_30-39_count,4414.0,3601.0,1258.0,11160.0,2377.0
age_30-39_count (/10K pop),103.32,261.9,95.42,289.8,107.08
age_30-39_tested,56902.0,29029.0,18105.0,69014.0,35538.0
age_30-39_tested (/10K pop),1331.87,2111.28,1373.2,1792.11,1600.92
age_40-49_count,4978.0,3853.0,1344.0,12208.0,1970.0
age_40-49_count (/10K pop),99.76,272.32,95.47,366.12,155.55
age_40-49_tested,59659.0,30797.0,18024.0,66832.0,21209.0
age_40-49_tested (/10K pop),1195.58,2176.67,1280.34,2004.31,1674.63
age_50-59_count,5347.0,3950.0,1395.0,10296.0,2049.0
age_50-59_count (/10K pop),100.36,258.82,85.78,332.84,187.12
age_50-59_tested,71369.0,37160.0,21562.0,64461.0,21652.0
age_50-59_tested (/10K pop),1339.57,2434.92,1325.9,2083.85,1977.33
age_60-69_count,3879.0,3089.0,996.0,6209.0,1732.0
age_60-69_count (/10K pop),95.3,253.86,73.23,269.34,194.6
age_60-69_tested,63517.0,34785.0,19716.0,50189.0,20552.0
age_60-69_tested (/10K pop),1560.44,2858.7,1449.58,2177.16,2309.14
age_70-79_count,2391.0,1872.0,532.0,2739.0,1112.0
age_70-79_count (/10K pop),107.59,269.99,67.04,227.86,232.86
age_70-79_tested,42986.0,20453.0,13227.0,26324.0,13366.0
age_70-79_tested (/10K pop),1934.32,2949.88,1666.71,2189.96,2798.93
age_80+_count,3523.0,1304.0,649.0,2136.0,1086.0
age_80+_count (/10K pop),249.98,311.46,127.95,308.14,393.26
age_80+_tested,45010.0,11966.0,12641.0,20698.0,10744.0
gender_male_count,14843.0,10063.0,4143.0,30203.0,6747.0
gender_male_tested,177062.0,85845.0,53924.0,178421.0,70219.0
gender_female_count,16669.0,12190.0,4738.0,30777.0,6421.0
gender_female_tested,235419.0,112581.0,71605.0,212255.0,85541.0
gender_unkown_count,318.0,381.0,71.0,845.0,302.0
gender_unkown_tested,15258.0,6775.0,5715.0,12425.0,6538.0
