2018,C0,C1,C2,C3,C4
total_count,13397.0,9816.0,27930.0,28767.0,21297.0
total_count (/10K pop),92.8,115.23,317.38,177.15,200.83
total_tested,189002.0,130668.0,145423.0,248242.0,192973.0
total_tested (/10K pop),1309.15,1533.94,1652.49,1528.73,1819.7
total_Confirmed (%),7.09,7.51,19.21,11.59,11.04
race_White_count,5562.0,2568.0,2058.0,5948.0,895.0
race_White_count (/10K pop),46.91,44.47,48.34,52.87,59.92
race_White_tested,66068.0,33970.0,17670.0,59257.0,9745.0
race_White_tested (/10K pop),557.2,588.29,415.02,526.68,652.44
race_White_Confirmed (%),8.42,7.56,11.65,10.04,9.18
race_Black_count,910.0,1954.0,2123.0,1942.0,12235.0
race_Black_count (/10K pop),129.12,175.64,175.2,154.75,146.79
race_Black_tested,6364.0,13121.0,11337.0,12337.0,81176.0
race_Black_tested (/10K pop),903.0,1179.39,935.57,983.07,973.93
race_Black_Confirmed (%),14.3,14.89,18.73,15.74,15.07
race_Asian_count,662.0,411.0,125.0,1584.0,31.0
race_Asian_count (/10K pop),52.47,39.26,40.79,101.26,35.74
race_Asian_tested,4484.0,3910.0,1213.0,7446.0,454.0
race_Asian_tested (/10K pop),355.39,373.49,395.78,476.0,523.46
race_Asian_Confirmed (%),14.76,10.51,10.31,21.27,6.83
race_Hispanic_count,1441.0,2394.0,16140.0,9892.0,2519.0
race_Hispanic_count (/10K pop),120.51,195.57,273.15,220.77,199.57
race_Hispanic_tested,6790.0,8649.0,43387.0,31159.0,8169.0
race_Hispanic_tested (/10K pop),567.83,706.57,734.27,695.39,647.21
race_Hispanic_Confirmed (%),21.22,27.68,37.2,31.75,30.84
race_NH/PI*_count,0.0,0.0,16.0,116.0,0.0
race_NH/PI*_tested,254.0,129.0,78.0,1036.0,20.0
race_NH/PI*_Confirmed (%),0.0,0.0,20.51,11.2,0.0
race_AI/AN**_count,0.0,0.0,0.0,39.0,0.0
race_AI/AN**_tested,109.0,80.0,73.0,259.0,127.0
race_AI/AN**_Confirmed (%),0.0,0.0,0.0,15.06,0.0
race_unkown_count,3967.0,2003.0,6286.0,7369.0,4980.0
race_unkown_tested,97939.0,66040.0,64716.0,124327.0,89866.0
race_unkown_Confirmed (%),4.05,3.03,9.71,5.93,5.54
race_other_count,572.0,363.0,1132.0,1689.0,503.0
race_other_tested,6824.0,4691.0,6889.0,12309.0,3299.0
race_other_Confirmed (%),8.38,7.74,16.43,13.72,15.25
age_Unknown_count,0.0,0.0,13.0,0.0,0.0
age_Unknown_tested,269.0,124.0,169.0,195.0,160.0
age_Unknown_Confirmed (%),0.0,0.0,7.69,0.0,0.0
age_<20_count,833.0,391.0,2536.0,1894.0,1408.0
age_<20_count (/10K pop),22.9,28.69,94.3,48.13,48.38
age_<20_tested,13240.0,5571.0,12906.0,15589.0,12679.0
age_<20_tested (/10K pop),364.04,408.78,479.92,396.12,435.65
age_<20_Confirmed (%),6.29,7.02,19.65,12.15,11.1
age_20-29_count,1782.0,1778.0,5314.0,4695.0,3110.0
age_20-29_count (/10K pop),130.41,82.67,372.59,221.26,204.25
age_20-29_tested,22571.0,26434.0,28784.0,36395.0,25048.0
age_20-29_tested (/10K pop),1651.79,1229.06,2018.2,1715.15,1644.99
age_20-29_Confirmed (%),7.9,6.73,18.46,12.9,12.42
age_30-39_count,1728.0,1759.0,5193.0,4851.0,3391.0
age_30-39_count (/10K pop),106.83,94.15,395.0,195.35,264.17
age_30-39_tested,24002.0,29895.0,26444.0,40752.0,27271.0
age_30-39_tested (/10K pop),1483.85,1600.13,2011.44,1641.07,2124.52
age_30-39_Confirmed (%),7.2,5.88,19.64,11.9,12.43
age_40-49_count,1956.0,1351.0,5766.0,5073.0,3622.0
age_40-49_count (/10K pop),99.01,134.96,501.69,236.23,276.64
age_40-49_tested,25833.0,16395.0,25585.0,38166.0,28819.0
age_40-49_tested (/10K pop),1307.61,1637.85,2226.1,1777.24,2201.15
age_40-49_Confirmed (%),7.57,8.24,22.54,13.29,12.57
age_50-59_count,2201.0,1506.0,4747.0,4884.0,3717.0
age_50-59_count (/10K pop),97.46,178.17,495.28,220.51,262.06
age_50-59_tested,31435.0,16799.0,22842.0,40333.0,35050.0
age_50-59_tested (/10K pop),1391.93,1987.46,2383.25,1821.01,2471.11
age_50-59_Confirmed (%),7.0,8.96,20.78,12.11,10.6
age_60-69_count,1709.0,1260.0,2673.0,3523.0,2965.0
age_60-69_count (/10K pop),92.81,181.89,376.5,199.84,264.43
age_60-69_tested,29103.0,15835.0,16144.0,36150.0,33096.0
age_60-69_tested (/10K pop),1580.52,2285.92,2273.93,2050.61,2951.65
age_60-69_Confirmed (%),5.87,7.96,16.56,9.75,8.96
age_70-79_count,1223.0,859.0,1105.0,1732.0,1807.0
age_70-79_count (/10K pop),117.39,226.64,298.19,184.11,277.68
age_70-79_tested,20351.0,10789.0,7753.0,20552.0,19412.0
age_70-79_tested (/10K pop),1953.37,2846.63,2092.18,2184.64,2983.07
age_70-79_Confirmed (%),6.01,7.96,14.25,8.43,9.31
age_80+_count,1822.0,805.0,568.0,2044.0,1264.0
age_80+_count (/10K pop),260.72,368.3,312.36,323.51,325.5
age_80+_tested,22107.0,8788.0,4782.0,20038.0,11389.0
age_80+_Confirmed (%),8.24,9.16,11.88,10.2,11.1
gender_male_count,6230.0,4927.0,13822.0,13767.0,9476.0
gender_male_tested,78392.0,56749.0,67008.0,106718.0,81126.0
gender_male_Confirmed (%),7.95,8.68,20.63,12.9,11.68
gender_female_count,6942.0,4634.0,13618.0,14527.0,11408.0
gender_female_tested,102516.0,68806.0,74251.0,132942.0,105810.0
gender_female_Confirmed (%),6.77,6.73,18.34,10.93,10.78
gender_unkown_count,135.0,220.0,480.0,402.0,381.0
gender_unkown_tested,8084.0,5105.0,4159.0,8578.0,6037.0
gender_unkown_Confirmed (%),1.67,4.31,11.54,4.69,6.31
