2018,C0,C1,C2,C3,C4
total_count,21297.0,13397.0,27930.0,9463.0,29120.0
total_count (/10K pop),200.83,92.8,317.38,116.89,174.77
total_tested,192973.0,189002.0,145423.0,124561.0,254349.0
total_tested (/10K pop),1819.7,1309.15,1652.49,1538.65,1526.57
total_Confirmed (%),11.04,7.09,19.21,7.6,11.45
race_White_count,895.0,5562.0,2058.0,2439.0,6077.0
race_White_count (/10K pop),59.92,46.91,48.34,44.5,52.64
race_White_tested,9745.0,66068.0,17670.0,31934.0,61293.0
race_White_tested (/10K pop),652.44,557.2,415.02,582.61,530.94
race_White_Confirmed (%),9.18,8.42,11.65,7.64,9.91
race_Black_count,12235.0,910.0,2123.0,1855.0,2041.0
race_Black_count (/10K pop),146.79,129.12,175.2,175.57,155.69
race_Black_tested,81176.0,6364.0,11337.0,12503.0,12955.0
race_Black_tested (/10K pop),973.93,903.0,935.57,1183.36,988.25
race_Black_Confirmed (%),15.07,14.3,18.73,14.84,15.75
race_Asian_count,31.0,662.0,125.0,401.0,1594.0
race_Asian_count (/10K pop),35.74,52.47,40.79,40.23,98.73
race_Asian_tested,454.0,4484.0,1213.0,3838.0,7518.0
race_Asian_tested (/10K pop),523.46,355.39,395.78,385.07,465.66
race_Asian_Confirmed (%),6.83,14.76,10.31,10.45,21.2
race_Hispanic_count,2519.0,1441.0,16140.0,2344.0,9942.0
race_Hispanic_count (/10K pop),199.57,120.51,273.15,198.3,219.82
race_Hispanic_tested,8169.0,6790.0,43387.0,8437.0,31371.0
race_Hispanic_tested (/10K pop),647.21,567.83,734.27,713.77,693.62
race_Hispanic_Confirmed (%),30.84,21.22,37.2,27.78,31.69
race_NH/PI*_count,0.0,0.0,16.0,0.0,116.0
race_NH/PI*_tested,20.0,254.0,78.0,129.0,1036.0
race_NH/PI*_Confirmed (%),0.0,0.0,20.51,0.0,11.2
race_AI/AN**_count,0.0,0.0,0.0,0.0,39.0
race_AI/AN**_tested,127.0,109.0,73.0,80.0,259.0
race_AI/AN**_Confirmed (%),0.0,0.0,0.0,0.0,15.06
race_unkown_count,4980.0,3967.0,6286.0,1970.0,7402.0
race_unkown_tested,89866.0,97939.0,64716.0,63276.0,127091.0
race_unkown_Confirmed (%),5.54,4.05,9.71,3.11,5.82
race_other_count,503.0,572.0,1132.0,334.0,1718.0
race_other_tested,3299.0,6824.0,6889.0,4292.0,12708.0
race_other_Confirmed (%),15.25,8.38,16.43,7.78,13.52
age_Unknown_count,0.0,0.0,13.0,0.0,0.0
age_Unknown_tested,160.0,269.0,169.0,97.0,222.0
age_Unknown_Confirmed (%),0.0,0.0,7.69,0.0,0.0
age_<20_count,1408.0,833.0,2536.0,367.0,1918.0
age_<20_count (/10K pop),48.38,22.9,94.3,29.37,47.38
age_<20_tested,12679.0,13240.0,12906.0,5146.0,16014.0
age_<20_tested (/10K pop),435.65,364.04,479.92,411.76,395.55
