geoid,2018, total_count, total_count (/10K pop), total_tested, total_Confirmed (%), race_White_count, race_White_tested, race_White_Confirmed (%), race_Black_count, race_Black_tested, race_Black_Confirmed (%), race_Asian_count, race_Asian_tested, race_Asian_Confirmed (%), race_Hispanic_count, race_Hispanic_tested, race_Hispanic_Confirmed (%), race_NH/PI*_count, race_NH/PI*_tested, race_NH/PI*_Confirmed (%), race_AI/AN**_count, race_AI/AN**_tested, race_AI/AN**_Confirmed (%), race_unkown_count, race_unkown_tested, race_unkown_Confirmed (%), race_other_count, race_other_tested, race_other_Confirmed (%), age_Unknown_count, age_Unknown_tested, age_Unknown_Confirmed (%), age_<20_count, age_<20_tested, age_<20_Confirmed (%), age_20-29_count, age_20-29_tested, age_20-29_Confirmed (%), age_30-39_count, age_30-39_tested, age_30-39_Confirmed (%), age_40-49_count, age_40-49_tested, age_40-49_Confirmed (%), age_50-59_count, age_50-59_tested, age_50-59_Confirmed (%), age_60-69_count, age_60-69_tested, age_60-69_Confirmed (%), age_70-79_count, age_70-79_tested, age_70-79_Confirmed (%), age_80+_count, age_80+_tested, age_80+_Confirmed (%), gender_male_count, gender_male_tested, gender_male_Confirmed (%), gender_female_count, gender_female_tested, gender_female_Confirmed (%), gender_unkown_count, gender_unkown_tested, gender_unkown_Confirmed (%)
60002,2,123,51.11,1784,6.89,55,1010,5.45,8,29,27.59,0,28,0.0,28,76,36.84,0,0,0.0,0,0,0.0,25,568,4.4,0,69,0.0,0,0,0.0,13,162,8.02,19,255,7.45,24,218,11.01,25,279,8.96,21,342,6.14,16,296,5.41,0,148,0.0,0,81,0.0,65,728,8.93,58,998,5.81,0,58,0.0
60004,2,393,77.19,8846,4.44,121,2726,4.44,9,157,5.73,17,136,12.5,71,322,22.05,0,10,0.0,0,0,0.0,153,5299,2.89,21,193,10.88,0,154,0.0,34,600,5.67,62,970,6.39,56,1039,5.39,57,1058,5.39,61,1188,5.13,42,1180,3.56,27,825,3.27,50,1832,2.73,170,3229,5.26,195,4415,4.42,28,1202,2.33
60005,3,242,81.93,4374,5.53,66,742,8.89,13,44,29.55,10,51,19.61,53,148,35.81,0,0,0.0,0,0,0.0,89,3306,2.69,10,77,12.99,0,0,0.0,16,317,5.05,38,469,8.1,39,536,7.28,41,545,7.52,35,620,5.65,26,622,4.18,19,517,3.68,28,744,3.76,109,1700,6.41,133,2231,5.96,0,443,0.0
60007,2,381,114.0,3904,9.76,124,553,22.42,0,17,0.0,12,43,27.91,59,131,45.04,0,0,0.0,0,0,0.0,163,3099,5.26,15,59,25.42,0,7,0.0,17,183,9.29,38,475,8.0,36,467,7.71,49,463,10.58,52,613,8.48,52,690,7.54,54,436,12.39,83,570,14.56,175,1614,10.84,203,2186,9.29,0,104,0.0
60008,3,368,168.55,4358,8.44,62,798,7.77,0,18,0.0,6,58,10.34,152,344,44.19,0,0,0.0,0,0,0.0,131,3053,4.29,12,83,14.46,0,0,0.0,29,319,9.09,41,561,7.31,69,586,11.77,80,610,13.11,70,672,10.42,50,736,6.79,20,488,4.1,9,381,2.36,196,1915,10.23,169,2336,7.23,0,107,0.0
60010,2,201,43.61,3993,5.03,94,1360,6.91,0,17,0.0,8,74,10.81,9,50,18.0,0,0,0.0,0,0,0.0,81,2421,3.35,7,63,11.11,0,0,0.0,24,376,6.38,32,462,6.93,26,358,7.26,14,497,2.82,38,721,5.27,25,645,3.88,16,467,3.43,26,465,5.59,106,1659,6.39,94,2272,4.14,0,62,0.0
60012,2,94,85.78,930,10.11,69,473,14.59,0,0,0.0,0,10,0.0,8,18,44.44,0,0,0.0,0,0,0.0,11,405,2.72,0,17,0.0,0,0,0.0,0,69,0.0,7,107,6.54,0,80,0.0,6,87,6.9,15,171,8.77,0,152,0.0,12,114,10.53,43,150,28.67,42,382,10.99,51,540,9.44,0,8,0.0
60013,2,135,52.27,1810,7.46,75,891,8.42,0,7,0.0,0,9,0.0,46,75,61.33,0,0,0.0,0,0,0.0,10,809,1.24,0,16,0.0,0,0,0.0,14,151,9.27,24,242,9.92,22,239,9.21,18,249,7.23,29,328,8.84,21,348,6.03,0,153,0.0,0,100,0.0,59,784,7.53,76,1005,7.56,0,21,0.0
60014,2,349,72.04,4280,8.15,209,1980,10.56,11,43,25.58,11,33,33.33,105,234,44.87,0,0,0.0,0,0,0.0,10,1921,0.52,0,61,0.0,0,0,0.0,35,323,10.84,43,529,8.13,61,626,9.74,56,596,9.4,52,730,7.12,41,651,6.3,25,402,6.22,36,422,8.53,146,1724,8.47,201,2435,8.25,0,121,0.0
60015,2,211,76.86,3210,6.57,143,1644,8.7,6,17,35.29,11,61,18.03,10,50,20.0,0,0,0.0,0,0,0.0,25,1274,1.96,15,160,9.38,0,0,0.0,13,336,3.87,23,433,5.31,18,343,5.25,28,404,6.93,33,508,6.5,21,480,4.38,31,386,8.03,44,319,13.79,85,1411,6.02,124,1705,7.27,0,94,0.0
60016,3,1169,196.02,8864,13.19,262,2020,12.97,55,199,27.64,187,691,27.06,216,626,34.5,7,53,13.21,8,41,19.51,321,4696,6.84,113,538,21.0,0,13,0.0,63,380,16.58,192,1315,14.6,169,1356,12.46,178,1271,14.0,217,1592,13.63,188,1428,13.17,74,791,9.36,87,718,12.12,563,3582,15.72,579,4723,12.26,27,559,4.83
60018,3,706,232.34,5243,13.47,124,1217,10.19,13,67,19.4,28,170,16.47,262,797,32.87,0,23,0.0,0,10,0.0,248,2764,8.97,27,195,13.85,0,10,0.0,42,293,14.33,123,758,16.23,106,758,13.98,127,707,17.96,112,839,13.35,75,719,10.43,40,475,8.42,81,684,11.84,333,2098,15.87,356,2802,12.71,17,343,4.96
60020,1,48,48.85,1105,4.34,19,639,2.97,0,28,0.0,0,14,0.0,8,70,11.43,0,0,0.0,0,0,0.0,15,325,4.62,0,26,0.0,0,0,0.0,0,58,0.0,0,126,0.0,11,148,7.43,11,165,6.67,9,180,5.0,8,181,4.42,0,128,0.0,0,118,0.0,20,464,4.31,27,627,4.31,0,14,0.0
60021,2,25,45.06,377,6.63,19,187,10.16,0,0,0.0,0,0,0.0,0,10,0.0,0,0,0.0,0,0,0.0,0,174,0.0,0,0,0.0,0,0,0.0,0,32,0.0,8,55,14.55,0,62,0.0,0,42,0.0,8,62,12.9,0,62,0.0,0,37,0.0,0,25,0.0,8,169,4.73,17,203,8.37,0,0,0.0
60022,2,36,42.47,878,4.1,26,528,4.92,0,0,0.0,0,12,0.0,0,11,0.0,0,0,0.0,0,0,0.0,0,275,0.0,0,46,0.0,0,0,0.0,6,139,4.32,9,116,7.76,0,64,0.0,0,109,0.0,10,146,6.85,0,154,0.0,0,107,0.0,0,43,0.0,20,396,5.05,16,469,3.41,0,13,0.0
60025,2,435,106.06,5128,8.48,196,2110,9.29,7,58,12.07,47,271,17.34,54,190,28.42,0,16,0.0,0,21,0.0,80,2095,3.82,47,367,12.81,0,0,0.0,40,396,10.1,57,654,8.72,45,583,7.72,88,773,11.38,81,869,9.32,51,844,6.04,29,504,5.75,44,502,8.76,206,1919,10.73,205,2661,7.7,24,548,4.38
