geoid,2018, total_count, total_count (/10k pop)
33001,0,0,0.0
33004,4,277,164.76
33009,4,739,179.04
33010,2,1795,380.05
33012,2,2424,320.36
33013,2,1067,323.53
33014,2,1092,264.3
33015,2,1842,277.95
33016,2,1611,315.86
33018,2,1475,280.81
33019,0,173,115.85
33020,4,888,199.2
33021,4,1015,205.67
33023,3,1855,251.8
33024,4,1571,208.62
33025,4,1607,223.93
33026,1,458,147.53
33027,1,968,160.82
33028,1,910,334.13
33029,1,667,139.26
33030,4,1624,454.89
33031,1,105,142.14
33032,4,1169,248.37
33033,4,1803,309.67
33034,3,927,398.18
33035,4,367,234.38
33036,0,38,116.07
33037,0,125,114.1
33039,2,5,140.45
33040,4,361,103.78
33042,0,18,27.59
33043,0,19,38.56
33050,0,94,99.65
33051,0,0,0.0
33054,3,1114,347.74
33055,2,1478,340.51
33056,3,1166,320.25
33060,3,999,268.78
33062,0,221,100.39
33063,4,909,165.46
33064,4,1692,275.58
33065,4,874,152.27
33066,0,210,125.1
33067,1,266,95.74
33068,3,1070,207.3
33069,4,665,240.84
33070,0,78,141.36
33071,1,507,127.26
33073,1,560,161.61
33076,1,431,117.76
33109,0,17,357.89
33122,1,56,5137.61
33125,2,3348,544.46
33126,2,1574,297.05
33127,3,921,275.22
33128,2,1352,1782.47
33129,2,249,189.67
33130,2,970,348.7
33131,0,319,190.85
33132,0,329,255.14
33133,4,776,225.19
33134,2,747,178.45
33135,2,1206,303.1
33136,3,1719,1158.43
33137,4,652,272.06
33138,4,478,160.04
33139,4,903,233.9
33140,0,670,307.24
33141,4,640,159.98
33142,3,2741,467.96
33143,1,1260,391.34
33144,2,937,309.91
33145,2,739,234.86
33146,1,195,120.7
33147,3,1652,345.36
33149,1,229,175.43
33150,3,860,288.21
33154,0,214,144.69
33155,2,1141,240.46
33156,1,691,202.24
33157,4,1830,267.54
33158,1,86,129.5
33160,0,648,157.61
33161,3,1440,258.7
33162,3,1085,225.17
33165,2,1890,336.7
33166,2,875,352.4
33167,3,521,262.64
33168,3,647,222.55
33169,3,1150,276.94
33170,4,468,340.41
33172,2,1108,257.18
33173,2,649,200.89
33174,2,807,237.25
33175,2,1660,300.0
33176,1,1180,224.93
33177,2,1339,230.35
33178,1,1506,292.66
33179,4,1051,232.3
33180,0,611,191.64
33181,4,387,193.64
33182,1,314,180.68
33183,2,814,217.04
33184,2,546,251.23
33185,1,593,191.54
33186,1,1182,167.39
33187,1,447,231.77
33189,4,467,173.37
33190,4,312,191.35
33193,2,1082,210.6
33194,1,416,490.28
33196,1,1052,203.28
33301,0,325,215.77
33304,4,323,172.07
33305,0,230,185.11
33306,0,47,139.14
33308,0,394,140.96
33309,4,1066,260.47
33311,3,1923,263.3
33312,4,1102,205.78
33313,3,1293,207.19
33314,4,542,206.97
33315,4,324,242.48
33316,0,1006,1026.43
33317,4,672,175.18
33319,4,933,198.42
33321,4,814,169.68
33322,4,457,117.03
33323,1,307,144.85
33324,1,561,114.94
33325,1,473,163.18
33326,1,405,122.93
33327,1,233,98.06
33328,1,391,135.85
33330,1,175,114.93
33331,1,325,125.71
33332,1,150,130.23
33334,4,667,226.27
33351,4,624,175.37
33401,4,625,220.95
33403,4,181,144.13
33404,3,717,249.68
33405,4,533,259.53
33406,4,812,302.33
33407,3,817,264.16
33408,0,169,92.61
33409,4,689,203.39
33410,1,470,132.03
33411,1,822,114.83
33412,1,125,83.79
33413,4,304,173.98
33414,1,587,95.76
33415,4,1233,239.04
33417,4,583,175.14
33418,1,371,92.23
33426,4,387,167.13
33428,1,608,147.61
33430,3,682,301.73
33431,0,314,149.76
33432,0,339,173.15
33433,0,631,157.93
33434,0,196,97.97
33435,4,735,201.8
33436,4,498,112.54
33437,0,317,81.45
33438,3,24,905.66
33441,4,635,234.75
33442,0,429,148.72
33444,3,415,174.59
33445,4,443,137.32
33446,0,262,104.87
33449,1,103,88.78
33458,1,930,164.19
33460,4,1277,390.66
33461,4,1180,254.62
33462,4,639,192.63
33463,4,1290,207.92
33467,1,619,116.05
33469,0,141,92.79
33470,1,388,147.06
33472,1,162,80.84
33473,1,59,52.21
33476,3,335,388.72
33477,0,88,64.19
33478,1,105,80.68
33480,0,65,64.82
33483,0,141,118.45
33484,0,338,129.27
33486,1,399,165.24
33487,0,195,96.65
33493,3,312,562.87
33496,0,202,92.55
33498,1,145,100.67
