geoid,2018, total_count, total_count (/10K pop)
85003,4,254,301.7
85004,4,186,283.88
85006,3,770,273.28
85007,3,596,404.04
85008,3,2237,355.12
85009,3,2120,427.97
85012,4,286,407.87
85013,4,481,230.12
85014,4,863,315.02
85015,3,1239,310.79
85016,4,1095,311.37
85017,3,1245,296.48
85018,4,926,238.46
85019,3,974,365.36
85020,4,649,186.59
85021,3,1013,241.18
85022,4,706,137.28
85023,4,558,161.8
85024,2,380,154.0
85027,4,578,158.19
85028,2,262,135.13
85029,4,996,216.72
85031,3,1276,389.77
85032,4,1274,174.93
85033,3,2278,346.42
85034,3,225,471.5
85035,3,2093,358.84
85037,3,1730,311.34
85040,3,1014,286.78
85041,3,2089,334.29
85042,3,1200,257.68
85043,3,1185,298.06
85044,2,526,126.9
85045,2,68,96.28
85048,2,456,129.35
85050,2,405,132.15
85051,3,1128,256.12
85053,4,496,165.47
85054,4,132,191.42
85083,2,314,160.16
85085,2,323,145.42
85086,2,445,105.27
85087,2,80,94.01
85139,2,210,115.49
85142,2,737,111.87
85147,1,0,0.0
85201,4,1045,202.84
85202,4,921,234.68
85203,4,629,161.0
85204,3,1322,190.83
85205,0,473,112.16
85206,4,945,256.09
85207,2,470,94.52
85208,0,414,109.04
85209,0,627,155.97
85210,3,902,220.44
85212,2,499,147.97
85213,2,396,107.31
85215,0,148,87.42
85224,2,922,207.97
85225,4,1456,207.8
85226,2,467,120.1
85233,2,552,156.44
85234,2,658,131.88
85248,2,596,178.97
85249,2,406,103.96
85250,0,234,131.95
85251,4,1013,243.66
85253,2,291,156.09
85254,2,602,129.93
85255,2,595,142.94
85256,1,169,288.3
85257,4,720,215.77
85258,2,334,132.79
85259,2,275,118.92
85260,2,561,144.09
85262,2,80,69.29
85263,0,12,46.15
85264,1,28,201.73
85266,2,95,73.43
85268,0,158,63.68
85281,4,1264,193.62
85282,4,980,179.33
85283,4,967,189.17
85284,2,186,98.18
85286,2,570,132.62
85295,2,584,127.61
85296,2,554,126.94
85297,2,453,137.15
85298,2,342,110.37
85301,3,1919,280.97
85302,4,1034,255.73
85303,3,1123,336.43
85304,2,483,174.08
85305,2,511,400.47
85306,4,428,169.8
85307,3,185,165.0
85308,2,896,135.64
85310,2,248,126.22
85320,3,47,317.57
85322,0,10,159.74
85323,3,1277,298.28
85326,3,1296,212.46
85331,2,300,100.32
85333,0,5,69.93
85335,3,713,203.69
85337,3,76,284.75
85338,2,1039,214.15
85339,3,1351,292.1
85340,2,501,149.41
85342,0,10,72.46
85345,4,1267,223.1
85351,0,249,85.55
85353,3,1638,391.7
85354,0,87,115.28
85355,2,163,131.61
85361,0,101,175.87
85363,4,202,299.39
85373,0,164,85.92
85374,0,452,94.74
85375,0,201,69.89
85377,0,24,72.75
85379,2,657,137.47
85381,2,454,178.42
85382,2,622,157.25
85383,2,676,134.37
85387,0,183,171.81
85388,2,376,127.86
85390,0,61,70.07
85392,4,997,256.59
85395,2,593,199.6
85396,2,344,180.25
85545,0,0,0.0
