geoid,2018, total_count, total_count (/10K pop), total_Case fatality rate, total_deaths, total_deaths (/10K pop)
01001,1,17817,3227.72,2.42,431,78.08
01003,0,25945,1246.71,2.28,592,28.45
01007,4,6456,2865.89,0.9,58,25.75
01009,1,6638,1151.53,0.74,49,8.5
01011,4,12644,12214.06,2.8,354,341.96
01013,4,26598,13282.4,4.13,1099,548.81
01015,4,13392,1163.53,1.99,266,23.11
01017,4,32943,9738.96,5.92,1949,576.18
01019,1,3039,1175.49,6.75,205,79.29
01021,1,8855,2015.71,1.36,120,27.32
01023,4,9449,7226.77,4.96,469,358.7
01025,4,9996,4098.91,1.87,187,76.68
01027,1,2454,1834.35,5.09,125,93.44
01029,1,1512,1012.18,5.09,77,51.55
01031,1,16962,3307.21,0.37,62,12.09
01033,1,13101,2404.07,1.89,248,45.51
01035,4,4691,3748.6,1.77,83,66.33
01037,0,3213,2959.93,2.58,83,76.46
01039,1,9085,2432.33,1.46,133,35.61
01041,1,5404,3897.58,2.59,140,100.97
01043,1,13323,1618.58,0.59,78,9.48
01045,4,8782,1782.97,0.0,0,0.0
01047,4,24121,6025.88,1.38,332,82.94
01049,1,20342,2857.02,1.27,258,36.24
01051,1,28557,3516.35,1.94,554,68.22
01053,4,6760,1810.97,3.68,249,66.71
01055,1,22659,2201.21,4.06,920,89.37
01057,1,1987,1198.07,0.86,17,10.25
01059,1,35656,11304.29,1.3,465,147.42
01061,1,2575,972.03,0.0,0,0.0
01063,4,7794,9249.94,3.77,294,348.92
01065,4,11972,8041.92,5.35,640,429.91
01067,0,5452,3183.84,2.57,140,81.76
01069,4,17440,1671.27,2.06,359,34.4
01071,1,8013,1538.18,2.77,222,42.62
01073,4,162075,2456.08,4.39,7120,107.9
01075,1,2388,1713.92,0.5,12,8.61
01077,1,13797,1490.2,2.0,276,29.81
01079,1,3768,1135.93,0.0,0,0.0
01081,2,51055,3205.22,4.99,2546,159.84
01083,1,11873,1275.95,0.0,0,0.0
01085,4,17930,17516.61,4.32,775,757.13
01087,4,6821,3579.83,4.63,316,165.84
01089,2,37735,1055.35,1.11,420,11.75
01091,4,11841,6060.5,4.26,505,258.47
01093,1,10257,3422.99,7.71,791,263.97
01095,1,58170,6113.83,1.13,657,69.05
01097,4,168772,4070.14,4.79,8084,194.96
01099,4,5447,2532.08,2.59,141,65.54
01101,4,133494,5882.32,2.48,3311,145.9
01103,1,28224,2369.34,0.32,90,7.56
01105,4,3799,4004.85,0.11,4,4.22
01107,4,8702,4287.12,3.44,299,147.31
01109,4,15809,4732.81,0.58,91,27.24
01111,1,9658,4278.37,5.87,567,251.17
01113,4,15399,2645.29,0.0,0,0.0
01115,1,11455,1312.05,0.79,90,10.31
01117,2,46127,2183.41,3.16,1458,69.01
01119,4,14104,10861.76,3.67,518,398.92
01121,4,10056,1248.18,2.94,296,36.74
01123,4,32488,7994.88,12.62,4100,1008.96
01125,2,65491,3175.89,1.86,1216,58.97
01127,1,29227,4531.81,1.13,331,51.32
01129,4,5296,3182.12,6.93,367,220.51
01131,4,11817,10932.56,3.69,436,403.37
01133,0,6867,2876.23,0.68,47,19.69
02050,4,300,166.3,0.0,0,0.0
02090,2,8896,892.7,1.99,177,17.76
02100,2,84,333.6,0.0,0,0.0
02195,2,251,771.12,0.0,0,0.0
02240,0,335,487.2,0.0,0,0.0
04001,4,102535,14336.15,2.74,2807,392.47
04003,3,13620,1078.56,1.79,244,19.32
04005,2,86224,6149.33,6.61,5697,406.3
04007,0,5687,1064.98,2.78,158,29.59
04009,3,2968,783.55,2.66,79,20.86
04011,3,579,609.22,5.87,34,35.77
04012,0,9494,4586.25,2.05,195,94.2
04013,2,1235384,2904.11,2.62,32411,76.19
04015,0,34058,1652.79,9.68,3298,160.05
04017,4,147656,13583.18,3.3,4879,448.83
04019,2,251951,2470.78,5.52,13903,136.34
04021,3,100230,2388.01,2.72,2725,64.92
04023,3,44802,9617.47,0.92,414,88.87
04025,0,25369,1129.29,1.64,417,18.56
04027,3,147474,7095.93,1.43,2109,101.48
05001,4,691,381.26,0.0,0,0.0
05003,4,2512,1223.16,0.96,24,11.69
05005,0,860,208.64,0.0,0,0.0
05007,2,67644,2611.94,0.53,357,13.78
05009,1,729,195.51,1.65,12,3.22
05011,4,1914,1748.26,4.96,95,86.77
05013,0,4,7.69,0.0,0,0.0
05015,1,3814,1367.66,2.41,92,32.99
05017,4,2972,2745.24,1.82,54,49.88
05019,1,3671,1639.94,0.0,0,0.0
05021,1,1156,767.55,3.55,41,27.22
05023,0,7520,2980.58,5.19,390,154.58
05025,1,1498,1821.06,0.0,0,0.0
05027,4,2215,927.09,6.5,144,60.27
05029,1,1670,798.81,8.38,140,66.97
05031,2,18108,1713.13,0.7,127,12.02
05033,1,3490,558.65,0.14,5,0.8
05035,4,30725,6268.75,2.16,663,135.27
05037,1,3936,2315.57,0.46,18,10.59
05039,4,235,316.2,0.0,0,0.0
