geoid,total_count,total_tested,race_White_count,race_White_tested,race_Black_count,race_Black_tested,race_Asian_count,race_Asian_tested,race_Hispanic_count,race_Hispanic_tested,race_NH/PI*_count,race_NH/PI*_tested,race_AI/AN**_count,race_AI/AN**_tested,race_unkown_count,race_unkown_tested,race_other_count,race_other_tested,age_Unknown_count,age_Unknown_tested,age_<20_count,age_<20_tested,age_20-29_count,age_20-29_tested,age_30-39_count,age_30-39_tested,age_40-49_count,age_40-49_tested,age_50-59_count,age_50-59_tested,age_60-69_count,age_60-69_tested,age_70-79_count,age_70-79_tested,age_80+_count,age_80+_tested,gender_male_count,gender_male_tested,gender_female_count,gender_female_tested,gender_unkown_count,gender_unkown_tested
60002,123,1784,55,1010,8,29,0,28,28,76,0,0,0,0,25,568,0,69,0,0,13,162,19,255,24,218,25,279,21,342,16,296,0,148,0,81,65,728,58,998,0,58
60004,393,8846,121,2726,9,157,17,136,71,322,0,10,0,0,153,5299,21,193,0,154,34,600,62,970,56,1039,57,1058,61,1188,42,1180,27,825,50,1832,170,3229,195,4415,28,1202
60005,242,4374,66,742,13,44,10,51,53,148,0,0,0,0,89,3306,10,77,0,0,16,317,38,469,39,536,41,545,35,620,26,622,19,517,28,744,109,1700,133,2231,0,443
60007,381,3904,124,553,0,17,12,43,59,131,0,0,0,0,163,3099,15,59,0,7,17,183,38,475,36,467,49,463,52,613,52,690,54,436,83,570,175,1614,203,2186,0,104
60008,368,4358,62,798,0,18,6,58,152,344,0,0,0,0,131,3053,12,83,0,0,29,319,41,561,69,586,80,610,70,672,50,736,20,488,9,381,196,1915,169,2336,0,107
60010,201,3993,94,1360,0,17,8,74,9,50,0,0,0,0,81,2421,7,63,0,0,24,376,32,462,26,358,14,497,38,721,25,645,16,467,26,465,106,1659,94,2272,0,62
60012,94,930,69,473,0,0,0,10,8,18,0,0,0,0,11,405,0,17,0,0,0,69,7,107,0,80,6,87,15,171,0,152,12,114,43,150,42,382,51,540,0,8
60013,135,1810,75,891,0,7,0,9,46,75,0,0,0,0,10,809,0,16,0,0,14,151,24,242,22,239,18,249,29,328,21,348,0,153,0,100,59,784,76,1005,0,21
60014,349,4280,209,1980,11,43,11,33,105,234,0,0,0,0,10,1921,0,61,0,0,35,323,43,529,61,626,56,596,52,730,41,651,25,402,36,422,146,1724,201,2435,0,121
60015,211,3210,143,1644,6,17,11,61,10,50,0,0,0,0,25,1274,15,160,0,0,13,336,23,433,18,343,28,404,33,508,21,480,31,386,44,319,85,1411,124,1705,0,94
