geoid,total_count
32003,265
32008,32
32009,15
32011,99
32013,0
32024,153
32025,755
32033,26
32034,315
32038,48
32040,39
32043,295
32044,6
32046,63
32052,355
32053,104
32054,81
32055,176
32058,29
32059,25
32060,428
32061,5
32062,23
32063,145
32064,311
32065,356
32066,65
32068,389
32071,37
32073,522
32080,174
32081,176
32082,361
32083,32
32084,276
32086,268
32087,28
32091,137
32092,294
32094,13
32095,120
32096,35
32097,142
32102,18
32110,77
32112,211
32113,32
32114,316
32117,449
32118,86
32119,125
32124,186
32127,115
32128,108
32129,105
32130,72
32131,47
32132,27
32134,5
32136,56
32137,187
32139,6
32140,8
32141,73
32145,40
32148,38
32159,108
32162,189
32163,95
32164,268
32168,144
32169,71
32174,335
32176,61
32177,453
32179,27
32180,85
32181,35
32187,13
32189,31
32190,38
32193,9
32195,16
32202,775
32204,217
32205,297
32206,293
32207,576
32208,1305
32209,698
32210,982
32211,460
32212,255
32214,12
32216,765
32217,346
32218,1026
32219,254
32220,98
32221,400
32222,154
32223,210
32224,491
32225,711
32226,197
32227,26
32233,301
32234,47
32244,737
32246,831
32250,564
32254,276
32256,712
32257,422
32258,341
32259,415
32266,126
32277,418
32301,248
32303,429
32304,740
32305,162
32306,19
32308,222
32309,191
32310,164
32311,172
32312,241
32317,108
32320,21
32321,265
32322,11
32323,0
32324,49
32327,218
32328,15
32331,33
32332,35
32333,73
32334,22
32336,8
32340,338
32343,60
32344,94
32346,5
32347,60
32348,101
32350,7
32351,400
32352,85
32355,5
32356,5
32358,8
32359,21
32360,5
32399,34
32401,316
32403,8
32404,337
32405,357
32407,133
32408,138
32409,73
32413,84
32420,17
32421,49
32423,7
32424,133
32425,251
32426,5
32427,10
32428,177
32430,10
32431,32
32433,163
32435,106
32437,5
32438,17
32439,69
32440,90
32442,22
32443,41
32444,178
32445,18
32446,239
32448,78
32449,8
32455,5
32456,71
32459,221
32460,193
32461,22
32462,34
32464,10
32465,47
32466,32
32501,367
32502,164
32503,488
32504,391
32505,457
32506,353
32507,259
32508,15
32509,5
32511,18
32512,32
32514,854
32526,540
32531,35
32533,373
32534,223
32535,38
32536,134
32539,217
32541,255
32542,12
32544,5
32547,363
32548,230
32550,65
32561,103
32563,240
32564,10
32565,58
32566,304
32567,15
32568,29
32569,93
32570,401
32571,380
32577,61
32578,185
32579,103
32580,15
32583,237
32601,293
32603,92
32605,166
32606,157
32607,314
32608,396
32609,274
32610,14
32611,10
32615,143
32617,13
32618,49
32619,52
32621,70
32622,6
32625,5
32626,125
32628,61
32631,5
32640,28
32641,167
32643,41
32648,5
32653,92
32656,44
32666,24
32667,16
32668,16
32669,100
32680,89
32686,20
32693,139
32694,9
32696,96
32701,312
32702,9
32703,712
32707,422
32708,430
32709,25
32712,524
32713,193
32714,498
32720,343
32724,477
32725,528
32726,218
32730,63
32732,58
32735,28
32736,54
32738,396
32744,21
32746,477
32750,276
32751,393
32754,44
32757,204
32759,10
32763,305
32764,19
32765,696
32766,145
32767,11
32771,712
32773,474
32776,89
32778,469
32779,335
32780,192
32784,51
32789,376
32792,530
32796,110
32798,37
32801,525
32803,677
32804,292
32805,410
32806,454
32807,621
32808,725
32809,537
32810,425
32811,744
32812,490
32814,154
32815,5
32816,17
32817,435
32818,677
32819,631
32820,97
32821,430
32822,1037
32824,1095
32825,938
32826,387
32827,207
32828,797
32829,345
32830,35
32831,28
32832,382
32833,96
32835,736
32836,269
32837,1024
32839,886
32901,243
32903,77
32904,321
32905,156
32907,323
32908,85
32909,289
32920,52
32922,237
32925,19
32926,117
32927,114
32931,114
32934,86
32935,253
32937,151
32940,301
32948,286
32949,15
32950,26
32951,39
32952,137
32953,148
32955,243
32958,143
32960,347
32962,180
32963,75
32966,100
32967,230
32968,79
32976,18
33004,277
33009,739
33010,1795
33012,2424
33013,1067
33014,1092
33015,1842
33016,1611
33018,1475
33019,173
33020,888
33021,1015
33023,1855
33024,1571
33025,1607
33026,458
33027,968
33028,910
33029,667
33030,1624
33031,105
33032,1169
33033,1803
33034,927
33035,367
33036,38
33037,125
33039,5
33040,361
33042,18
33043,19
33050,94
33054,1114
33055,1478
33056,1166
33060,999
33062,221
33063,909
33064,1692
33065,874
33066,210
33067,266
33068,1070
33069,665
33070,78
33071,507
33073,560
33076,431
33109,17
33122,56
33125,3348
33126,1574
33127,921
33128,1352
33129,249
33130,970
33131,319
33132,329
33133,776
33134,747
33135,1206
33136,1719
33137,652
33138,478
33139,903
33140,670
33141,640
33142,2741
33143,1260
33144,937
33145,739
33146,195
33147,1652
33149,229
33150,860
33154,214
33155,1141
33156,691
33157,1830
33158,86
33160,648
33161,1440
33162,1085
33165,1890
33166,875
33167,521
33168,647
33169,1150
33170,468
33172,1108
33173,649
33174,807
33175,1660
33176,1180
33177,1339
33178,1506
33179,1051
33180,611
33181,387
33182,314
33183,814
33184,546
33185,593
33186,1182
33187,447
33189,467
33190,312
33193,1082
33194,416
33196,1052
33199,5
33301,325
33304,323
33305,230
33306,47
33308,394
33309,1066
33311,1923
33312,1102
33313,1293
33314,542
33315,324
33316,1006
33317,672
33319,933
33321,814
33322,457
33323,307
33324,561
33325,473
33326,405
33327,233
33328,391
33330,175
33331,325
33332,150
33334,667
33351,624
33401,625
33403,181
33404,717
33405,533
33406,812
33407,817
33408,169
33409,689
33410,470
33411,822
33412,125
33413,304
33414,587
33415,1233
33417,583
33418,371
33426,387
33428,608
33430,682
33431,314
33432,339
33433,631
33434,196
33435,735
33436,498
33437,317
33438,24
33440,699
33441,635
33442,429
33444,415
33445,443
33446,262
33449,103
33455,190
33458,930
33460,1277
33461,1180
33462,639
33463,1290
33467,619
33469,141
33470,388
33471,212
33472,162
33473,59
33476,335
33477,88
33478,105
33480,65
33483,141
33484,338
33486,399
33487,195
33493,312
33496,202
33498,145
33510,393
33511,1149
33513,184
33514,28
33523,159
33525,288
33527,275
33534,244
33538,37
33540,46
33541,141
33542,161
33543,286
33544,283
33545,163
33547,177
33548,63
33549,139
33556,270
33558,253
33559,136
33563,563
33565,158
33566,336
33567,188
33569,248
33570,571
33572,192
33573,209
33576,26
33578,694
33579,402
33584,362
33585,15
33592,107
33594,328
33596,246
33597,30
33598,523
33602,507
33603,332
33604,607
33605,421
33606,572
33607,844
33609,369
33610,860
33611,435
33612,865
33613,850
33614,1320
33615,890
33616,258
33617,537
33618,291
33619,756
33620,26
33621,11
33624,511
33625,400
33626,302
33629,372
33634,393
33635,219
33637,233
33647,615
33701,442
33702,409
33703,272
33704,177
33705,792
33706,133
33707,329
33708,135
33709,397
33710,409
33711,458
33712,627
33713,468
33714,206
33715,52
33716,370
33755,406
33756,661
33759,232
33760,227
33761,151
33762,81
33763,162
33764,261
33765,234
33767,94
33770,267
33771,351
33772,265
33773,288
33774,187
33776,132
33777,272
33778,161
33781,353
33782,258
33785,41
33786,16
33801,382
33803,241
33805,457
33809,258
33810,393
33811,195
33812,128
33813,371
33815,223
33823,355
33825,217
33827,19
33830,504
33834,143
33837,301
33838,32
33839,48
33841,168
33843,181
33844,621
33849,6
33850,98
33852,87
33853,140
33854,0
33855,5
33856,0
33857,5
33859,84
33860,311
33865,10
33867,5
33868,254
33870,235
33872,66
33873,441
33875,31
33876,23
33880,642
33881,889
33884,334
33890,77
33896,170
33897,236
33898,97
33901,686
33903,190
33904,350
33905,864
33907,561
33908,485
33909,505
33912,598
33913,253
33914,421
33916,791
33917,230
33919,294
33920,63
33921,5
33922,19
33924,5
33928,228
33931,49
33935,568
33936,418
33944,5
33946,11
33947,54
33948,126
33950,134
33952,277
33953,34
33954,85
33955,39
33956,15
33957,31
33960,6
33965,5
33966,145
33967,434
33971,665
33972,251
33973,293
33974,316
33976,404
33980,201
33981,50
33982,58
33983,133
33990,530
33991,356
33993,434
34102,202
34103,117
34104,571
34105,132
34108,142
34109,360
34110,225
34112,411
34113,430
34114,229
34116,999
34117,252
34119,396
34120,710
34134,97
34135,710
34138,5
34139,5
34140,5
34141,18
34142,1831
34145,61
34201,30
34202,272
34203,712
34205,576
34207,591
34208,1097
34209,347
34210,200
34211,121
34212,253
34215,5
34216,5
34217,25
34219,264
34221,906
34222,169
34223,60
34224,87
34228,19
34229,34
34231,320
34232,443
34233,196
34234,428
34235,227
34236,171
34237,347
34238,158
34239,304
34240,121
34241,117
34242,68
34243,300
34251,102
34266,994
34269,25
34275,92
34285,78
34286,138
34287,102
34288,94
34289,5
34291,48
34292,60
