geoid,total_count,total_tested,total_deaths
10001,404,4571,24
10002,1151,9333,158
10003,492,7258,34
10004,35,493,1
10005,72,1112,2
10006,32,514,0
10007,66,1205,3
10009,750,8406,69
10010,289,4948,19
10011,550,7558,41
10012,179,2953,9
10013,289,4429,21
10014,335,5048,28
10016,749,8813,49
10017,152,2368,8
10018,236,2567,5
10019,646,7400,42
10021,593,7393,65
10022,368,5057,30
10023,594,8875,53
10024,764,9395,72
10025,1440,16541,172
10026,689,5271,47
10027,1103,8762,112
10028,495,6859,31
10029,1893,11811,209
10030,528,3699,54
10031,1413,9404,129
10032,1629,9968,172
10033,1424,8693,119
10034,771,5782,70
10035,1053,5998,129
10036,464,4744,39
10037,546,3730,63
10038,262,2734,28
10039,548,3383,63
10040,1184,6973,118
10044,245,1845,36
10065,337,5103,28
10069,62,886,2
10075,438,4315,45
10128,669,9161,42
10280,61,913,0
10282,77,654,15
10301,1251,6585,105
10302,650,2753,32
10303,910,4261,45
10304,1428,7129,180
10305,1288,6572,80
10306,1497,8476,81
10307,394,2033,15
10308,664,3715,28
10309,865,4712,31
10310,725,3981,33
10312,1558,8403,59
10314,2745,14074,199
10451,1640,8254,148
10452,2554,12356,168
10453,2528,11481,162
10454,1202,6290,105
10455,1365,6580,107
10456,2671,13935,285
10457,2270,11294,185
10458,2215,10886,125
10459,1579,7505,166
10460,1761,8500,125
10461,1917,9360,137
10462,2363,12167,175
10463,2140,12800,209
10464,129,819,9
10465,1549,7728,83
10466,2505,10813,166
10467,3593,16285,310
10468,2927,14140,217
10469,3149,13872,351
10470,471,2470,20
10471,828,5020,82
10472,2100,9081,188
10473,2026,9882,136
10474,338,1572,21
10475,1789,8096,173
11004,614,3938,67
11101,671,6228,38
11102,657,5096,78
11103,609,5316,52
11104,518,3998,42
11105,511,5075,43
11106,690,5469,51
11109,55,877,2
11201,764,10883,93
11203,2172,10508,240
11204,2103,11749,142
11205,777,6431,50
11206,1699,12078,154
11207,2230,11644,214
11208,2540,12331,245
11209,1191,9672,112
11210,1779,9349,147
11211,2202,17361,135
11212,2001,10248,232
11213,1478,9067,144
11214,1629,10908,181
11215,654,9565,47
11216,793,7781,74
11217,654,6476,85
11218,1827,11348,136
11219,3179,18071,230
11220,1693,10141,164
11221,1400,10452,144
11222,483,6384,32
11223,1790,10131,144
11224,1297,6552,209
11225,1216,8180,138
11226,2450,13730,299
11228,708,4627,81
11229,1844,14416,147
11230,2463,14214,227
11231,443,5271,34
11232,584,3666,42
11233,1351,7867,135
11234,2318,11862,192
11235,2130,12353,296
11236,2870,12924,297
11237,1040,7198,114
11238,839,8891,102
11239,538,2922,88
11354,1302,9257,290
11355,1454,9818,165
11356,594,3171,42
11357,853,5514,102
11358,607,4848,43
11360,331,2816,27
11361,473,3580,56
11362,336,2373,35
11363,101,829,5
11364,480,3937,35
11365,880,5801,67
11366,402,1956,27
11367,1082,6025,67
11368,4846,20300,441
11369,1677,6616,177
11370,1382,5719,64
11372,2665,12571,254
11373,3365,16382,294
11374,1114,6166,99
11375,1499,9504,181
11377,2371,14251,191
11378,773,4826,71
11379,852,5226,96
11385,2275,12988,140
11411,707,2851,50
11412,1285,5412,90
11413,1357,5686,102
11414,826,3665,62
11415,549,2968,51
11416,745,3295,55
11417,914,4395,46
11418,1162,5341,105
11419,1252,5460,95
11420,1422,6142,106
11421,1238,5710,102
11422,1028,4466,67
11423,1118,4663,103
11426,507,2503,34
11427,809,3737,51
11428,692,2822,54
11429,996,4313,75
11432,1903,8975,251
11433,991,4604,79
11434,2180,9518,193
11435,1695,8045,148
11436,554,2531,44
11691,2515,12648,364
11692,657,3531,92
11693,341,1711,29
11694,753,3601,86
11697,110,1284,4
