geoid,total_count
85003,254
85004,186
85006,770
85007,596
85008,2237
85009,2120
85012,286
85013,481
85014,863
85015,1239
85016,1095
85017,1245
85018,926
85019,974
85020,649
85021,1013
85022,706
85023,558
85024,380
85027,578
85028,262
85029,996
85031,1276
85032,1274
85033,2278
85034,225
85035,2093
85037,1730
85040,1014
85041,2089
85042,1200
85043,1185
85044,526
85045,68
85048,456
85050,405
85051,1128
85053,496
85054,132
85083,314
85085,323
85086,445
85087,80
85118,85
85119,176
85120,311
85121,0
85122,1116
85123,190
85128,360
85131,615
85132,586
85135,5
85137,22
85138,533
85139,210
85140,423
85141,11
85142,737
85143,416
85145,18
85147,0
85172,31
85173,56
85190,0
85191,10
85192,16
85193,80
85194,71
85201,1045
85202,921
85203,629
85204,1322
85205,473
85206,945
85207,470
85208,414
85209,627
85210,902
85212,499
85213,396
85215,148
85224,922
85225,1456
85226,467
85233,552
85234,658
85248,596
85249,406
85250,234
85251,1013
85253,291
85254,602
85255,595
85256,169
85257,720
85258,334
85259,275
85260,561
85262,80
85263,12
85264,28
85266,95
85268,158
85281,1264
85282,980
85283,967
85284,186
85286,570
85287,5
85295,584
85296,554
85297,453
85298,342
85301,1919
85302,1034
85303,1123
85304,483
85305,511
85306,428
85307,185
85308,896
85309,40
85310,248
85320,47
85321,61
85322,10
85323,1277
85324,22
85325,0
85326,1296
85328,5
85329,84
85331,300
85332,5
85333,5
85334,10
85335,713
85336,316
85337,76
85338,1039
85339,1351
85340,501
85341,5
85342,10
85343,5
85344,143
85345,1267
85346,15
85347,5
85348,14
85349,478
85350,2824
85351,249
85352,11
85353,1638
85354,87
85355,163
85356,91
85357,0
85360,0
85361,101
85362,5
85363,202
85364,3287
85365,1379
85367,364
85373,164
85374,452
85375,201
85377,24
85378,160
85379,657
85381,454
85382,622
85383,676
85387,183
85388,376
85390,61
85392,997
85395,593
85396,344
85501,122
85530,0
85531,0
85532,5
85533,10
85534,5
85536,5
85539,50
85540,26
85541,161
85542,5
85543,40
85544,10
85545,0
85546,126
85550,145
85552,29
85553,5
85554,0
85601,5
85602,57
85603,46
85605,10
85606,5
85607,551
85609,0
85610,5
85611,5
85613,19
85614,234
85615,21
85616,10
85617,5
85618,19
85619,0
85620,22
85621,1247
85622,29
85623,10
85624,10
85625,5
85626,26
85629,303
85630,10
85631,13
85632,12
85633,0
85634,147
85635,173
85637,10
85638,10
85639,0
85640,0
85641,156
85643,113
85645,27
85646,11
85648,935
85650,54
85653,128
85658,83
85701,55
85704,278
85705,740
85706,1527
85707,10
85708,10
85710,517
85711,517
85712,441
85713,871
85714,439
85715,136
85716,305
85718,166
85719,400
85730,351
85735,142
85736,39
85737,81
85739,33
85741,344
85742,182
85743,228
85745,475
85746,979
85747,186
85748,136
85749,85
85750,127
85755,80
85756,700
85757,601
85901,236
85911,0
85920,5
85922,0
85923,0
85924,10
85925,13
85927,0
85928,5
85929,90
85931,0
85932,0
85933,20
85934,5
85935,66
85936,10
85937,59
85938,29
85939,19
85940,5
85942,5
86001,444
86004,497
86005,158
86015,10
86016,0
86017,10
86018,5
86020,0
86021,10
86022,5
86023,29
86024,5
86025,103
86029,24
86032,19
86033,0
86035,0
86036,5
86038,0
86040,306
86042,0
86043,0
86044,0
86045,0
86046,27
86047,402
86052,0
86054,0
86301,156
86303,67
86305,70
86314,228
86315,33
86320,5
86321,10
86322,81
86323,56
86324,34
86325,19
86326,248
86327,58
86329,5
86331,5
86332,5
86333,31
86334,19
86335,18
86336,53
86337,5
86338,5
86343,0
86351,23
86401,158
86403,175
86404,156
86406,260
86409,129
86411,0
86413,36
86426,165
86429,54
86432,30
86433,0
86434,0
86435,0
86436,10
86437,5
86438,5
86440,167
86441,10
86442,522
86443,0
86444,0
86445,5
86502,71
86503,0
86505,28
86507,0
86511,5
86514,0
86515,0
